3RB
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484726700,79.9
5,80.4
7,80.2
8,80.18
9,80.28
18,80.07
76,80
84,79.96
95,80.15
108,80.15
110,80.11
153,80.21
179,80.15
186,80.24
209,80.04
221,80.03
222,79.97
241,79.97
275,79.96
294,79.91
307,80.09
312,80.11
355,80.2
371,80.3
373,80.27
384,80.26
414,80.2
415,80.21
427,80.06
451,80.11
455,80.27
462,80.31
473,80.3
497,80.2
a1484813100,79.97
5,79.9
13,80.07
14,80.13
34,80.21
42,80.28
73,80.27
85,80.37
115,80.07
150,80.42
162,80.45
239,80.55
311,80.32
334,80.43
355,80.58
378,80.7
391,80.83
414,80.97
450,81.16
454,81.06
468,81.06
498,81.03
a1484899500,80.6
3,80.43
44,80.4
71,80.3
100,80.01
108,79.95
138,79.88
148,79.99
163,80.06
169,80.23
170,80.24
173,80.08
178,79.99
186,80.08
231,79.93
242,80.18
253,80.11
255,80.1
297,80.06
349,80.01
350,80
360,79.94
361,79.92
413,79.96
504,79.95
a1485158700,79.68
2,79.44
13,79.55
27,79.48
29,79.57
37,79.45
39,79.43
78,79.67
84,79.78
124,80.21
139,80.21
171,80.78
187,81.13
347,80.66
372,80.7
374,80.8
377,80.78
382,80.75
392,80.79
427,80.72
435,80.61
485,80.88
504,81
a1485245280,80.6
2,80.7
4,80.57
11,80.55
13,80.49
29,80.65
36,80.59
51,80.69
67,80.73
81,80.59
233,80.42
263,80.49
289,80.23
307,80.3
367,80.22
376,80.25
379,80.28
382,80.24
384,80.18
390,80.31
396,80.28
401,80.24
410,80.29
419,80.26
432,80.24
436,80.1
444,80.05
a1485331500,80.88
5,81.13
12,81.15
18,81.09
20,81.23
26,81.55
89,81.56
100,81.18
106,81.34
107,81.33
110,81.35
150,81.25
180,81.12
187,81.01
206,81
214,80.98
217,80.9
219,80.9
265,80.94
271,80.99
272,81
278,81
294,81
296,81.03
297,81.06
317,81.05
348,80.98
367,80.96
415,80.81
417,80.72
434,80.58
442,80.73
457,80.96
475,81.01
481,81.05
a1485417900,80.65
2,80.65
3,80.51
4,80.5
5,80.3
19,80.77
24,80.82
33,80.9
34,80.85
40,81.04
50,81.32
77,81.01
89,81.13
124,81.05
147,80.91
153,80.88
154,80.86
169,80.89
179,80.86
206,80.85
213,80.84
215,80.83
250,80.55
257,80.51
321,80.9
372,81.29
396,81.34
418,81.37
450,81.44
494,81.6
495,81.66
496,81.77
a1485504300,81.99
15,81.68
64,81.96
86,81.86
92,81.91
99,81.91
120,81.88
121,81.83
128,81.93
129,81.94
156,82.01
185,82.07
213,81.84
230,81.79
231,81.79
235,81.73
236,81.38
240,81.67
273,81.8
276,81.79
283,81.74
317,81.66
335,81.8
363,81.7
364,81.73
377,81.71
393,81.72
394,81.73
399,81.77
411,81.74
415,81.78
431,81.78
463,81.88
495,81.73
502,81.76
a1485763500,81.5
2,81.13
4,81.1
5,81.1
8,81.2
9,81.2
12,81
15,81.06
26,81.15
50,81.07
58,80.96
71,80.92
94,81.2
100,81.2
104,81.01
112,81.02
133,80.95
134,80.99
168,80.93
179,81.02
200,80.88
201,80.94
244,81
245,81.05
253,81.15
256,81.15
272,81.05
296,81.26
305,81.28
332,81.28
356,81.2
367,81.18
368,81.18
369,81.19
370,81.11
407,81.05
435,80.94
465,80.94
469,80.95
470,80.9
478,80.85
481,80.9
487,80.85
491,80.96
a1485849900,80.56
1,80.54
3,80.52
20,80.91
25,80.84
56,81.04
96,80.45
115,80
116,79.98
138,80.23
190,80.35
301,80.53
315,80.56
360,80.32
362,80.35
366,80.25
374,80.35
379,80.38
468,80.35
"
