ABJ
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1485158700,21.165
25,21.175
40,21.165
137,21.25
236,21.24
269,21.24
334,21.16
435,21.085
457,21.06
482,21.08
486,21.08
a1485245640,21.16
30,21.215
54,21.245
85,21.35
132,21.28
140,21.28
280,21.225
289,21.215
311,21.225
331,21.255
443,21.255
a1485331500,21.4
11,21.5
18,21.56
45,21.59
62,21.57
135,21.7
144,21.705
174,21.725
176,21.725
184,21.7
207,21.715
213,21.715
218,21.705
223,21.725
230,21.725
238,21.745
249,21.75
271,21.77
317,21.745
342,21.785
436,21.895
441,21.915
442,21.92
443,21.915
444,21.91
445,21.895
446,21.88
448,21.86
449,21.86
450,21.835
451,21.835
453,21.84
454,21.81
456,21.8
457,21.8
458,21.82
459,21.835
462,21.87
463,21.88
466,21.885
472,21.925
474,21.92
475,21.89
476,21.88
477,21.88
488,21.85
489,21.85
490,21.84
491,21.835
493,21.865
494,21.865
499,21.89
500,21.9
502,21.9
503,21.99
504,22
a1485417900,21.935
3,21.965
4,22
15,22.095
16,22.085
19,22.09
20,22.08
37,22.035
56,22.115
57,22.14
72,22.13
74,22.08
75,22.06
79,22.1
81,22.08
104,22.1
112,22.13
135,22.105
148,22.065
152,22.03
176,22.045
178,22.065
184,22.08
187,22.115
221,22.15
229,22.2
232,22.2
254,22.25
289,22.175
295,22.2
314,22.165
328,22.17
422,22.33
438,22.33
439,22.34
446,22.33
459,22.31
461,22.3
477,22.265
485,22.28
491,22.28
a1485504300,22.195
12,22.235
17,22.205
18,22.21
25,22.25
27,22.245
37,22.2
39,22.175
51,22.16
65,22.17
71,22.2
192,22.22
219,22.235
256,22.205
288,22.215
379,22.25
387,22.24
392,22.18
418,22.24
426,22.215
439,22.22
452,22.22
461,22.225
469,22.2
486,22.195
a1485763500,22.3
6,22.25
13,22.15
18,22.1
31,22.07
39,22.1
104,22.135
110,22.14
111,22.165
113,22.185
118,22.16
146,22.23
152,22.21
219,22.23
237,22.23
317,22.17
335,22.195
360,22.215
385,22.19
406,22.11
408,22.135
425,22.145
456,22.12
487,22.075
496,22.095
502,22.02
a1485849900,22.14
1,22.2
7,22.185
18,22.2
32,22.25
54,22.18
56,22.21
78,22.16
86,22.155
89,22.18
107,22.2
206,22.215
210,22.215
220,22.175
288,22.15
309,22.165
317,22.175
387,22.05
389,22.06
397,22.1
422,21.95
429,21.95
443,22
452,22
455,21.98
463,21.965
479,21.995
a1485936300,22.17
2,22.25
13,22.135
40,22.08
41,22.055
56,22.05
58,22.06
60,22.06
93,22.05
180,22.045
272,22
276,22
290,22
298,22.02
374,22.105
380,22.12
a1486022700,21.975
8,21.975
21,21.985
30,21.975
65,21.885
87,21.865
96,21.83
104,21.805
109,21.75
127,21.795
136,21.775
147,21.72
273,21.82
276,21.81
307,21.86
444,21.885
478,21.905
502,21.95
a1486121460,21.88
28,21.86
52,21.825
68,21.83
120,21.835
145,21.88
163,21.865
177,21.88
230,21.88
253,21.885
"
