ADE
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484730840,7.278
28,7.278
50,7.268
74,7.267
85,7.07
87,7.24
112,7.26
123,7.24
147,7.298
170,7.141
176,7.001
178,7.001
190,7
218,7.049
224,6.95
284,7.108
310,7.108
313,7.108
324,7.079
423,7.09
a1484812980,7
52,7
54,7.199
118,7.199
149,7.198
159,7.198
174,7.197
177,7.197
214,7.199
215,7.199
296,7.05
335,7.1
346,7.199
402,7.091
439,7.26
471,7.19
472,7.091
505,7.189
a1484899380,7.21
22,7.05
91,7.004
140,7.004
153,7.223
223,7.001
303,7.001
437,7.189
a1485158580,7.299
7,7.001
24,7.218
30,7.01
101,7.001
212,7.001
220,7.002
279,7.002
339,7.218
404,7.218
483,7.218
a1485244980,7.278
75,7.03
79,7.277
101,7.277
124,7.277
133,7.277
168,7.277
238,7.277
241,7.277
260,7.169
399,7.11
a1485331380,7.05
68,7.05
69,7.02
70,7
74,7.05
93,7.05
207,7.05
283,7.05
336,7
352,7
366,7.11
384,7.11
448,7
488,7
491,6.96
499,6.91
a1485417900,7.15
9,6.951
12,7.199
16,7.199
55,6.951
57,6.951
76,6.952
162,6.949
174,7.049
176,7.299
178,7.3
180,7.5
237,7.201
261,7.25
345,7.3
386,7.355
a1485504180,7.28
10,7.279
97,7.1
136,7.298
163,7.071
172,7.298
204,7.071
425,7.072
449,7.199
466,7.1
475,7.1
a1485763380,7.299
64,7.297
80,7.297
97,7.1
197,7.099
200,7
242,7
244,7.099
315,7.1
354,7.1
395,7
440,7.1
477,6.93
479,6.85
480,6.869
484,6.9
498,6.929
501,7.15
a1485853200,7.149
8,7.149
20,7.02
21,7
23,6.938
30,7.049
46,7.048
81,6.89
177,6.89
210,6.89
364,7.048
423,7.05
434,7.05
"
