AHOG
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484727360,19.605
91,19.66
257,19.5
436,19.47
a1484813220,20.17
11,20.34
27,20.38
113,20.14
146,20.1
147,20.1
394,20.56
414,20.585
a1484904720,20.515
110,20.45
a1485167760,20.04
106,20.24
226,20.08
a1485253200,19.87
2,19.925
163,19.895
223,19.895
324,19.875
347,19.885
a1485331500,19.88
a1485423840,19.895
274,20.015
364,19.98
a1485763500,20.005
12,19.955
57,19.78
161,19.84
405,19.975
a1485876900,19.785
3,19.785
8,19.79
12,19.785
15,19.58
"
