DIS
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=3600
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1378458000,16.55
484,14.855
575,14.705
TIMEZONE_OFFSET=60
a1383735600,14.26
315,14.35
a1389787200,12.655
551,12.51
552,12.51
717,12.95
981,12.36
a1393581600,12.6
407,12.6
482,12.615
TIMEZONE_OFFSET=120
a1397646000,13.04
28,13
a1408626000,12.95
1,12.7
TIMEZONE_OFFSET=60
a1416409200,12.505
a1426496400,13.09
TIMEZONE_OFFSET=120
383,13.3
774,14.18
892,14.85
a1430996400,15.055
309,16.21
333,16.21
697,15.805
817,15.8
959,16.005
a1435222800,16.11
628,13.465
a1439290800,13.235
357,13.45
a1445346000,13.005
TIMEZONE_OFFSET=60
644,14.6
a1449565200,13.52
673,13.67
890,13.24
a1453460400,10.255
917,12.005
934,12.005
960,12.41
a1457946000,11.88
TIMEZONE_OFFSET=120
a1461924000,12.38
71,12.675
101,12.45
336,12.16
478,11.745
a1465552800,12.2
674,12.105
a1469800800,12.485
90,12.485
642,12.75
643,15
644,14.35
645,14
984,12.47
a1473670800,12.43
47,12.08
76,12.28
916,12.16
TIMEZONE_OFFSET=60
a1479459600,11.725
242,11.38
a1483095600,12.065
96,12.07
120,12.58
244,13.11
341,13.105
576,13.335
625,13.34
"
