MWB
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=3600
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1378800000,0.844
2,0.77
652,0.77
726,0.83
840,0.79
912,0.79
990,0.86
a1382515200,0.84
25,0.79
26,0.79
TIMEZONE_OFFSET=60
146,0.77
320,0.76
462,0.825
464,0.79
559,0.76
650,0.795
654,0.795
725,0.795
871,0.78
872,0.78
a1386331200,0.755
123,0.76
285,0.76
336,0.76
405,0.76
502,0.78
574,0.78
576,0.755
839,0.77
841,0.79
963,0.77
a1390215600,0.825
94,0.77
192,0.8
242,0.86
263,0.85
599,0.781
603,0.781
605,0.77
675,0.76
917,0.755
a1394017200,0.755
286,0.735
289,0.736
TIMEZONE_OFFSET=120
621,0.765
623,0.765
625,0.765
676,0.835
717,0.95
718,0.969
719,1.09
885,1.09
958,1.041
984,1.097
a1397642400,0.998
214,0.977
217,0.905
286,0.9
288,0.901
314,0.93
315,0.901
385,0.901
387,0.9
459,0.98
505,1.01
556,1.011
670,1.011
725,1.06
820,1.06
a1401980400,1.12
17,1.121
162,1.12
475,1.121
521,1.121
523,1.22
642,1.12
858,1.121
a1406804400,1.08
337,1.03
477,1.03
675,1.03
814,1.03
863,1.03
a1410426000,1.11
294,1.22
698,1.14
a1414054800,1.16
1,1.22
23,1.23
29,1.28
TIMEZONE_OFFSET=60
144,1.32
169,1.22
295,1.18
510,1.271
792,1.25
864,1.07
869,1.071
a1417698000,1.15
1,1.3
95,1.39
140,1.441
147,1.45
171,1.51
188,1.56
189,1.6
288,1.455
333,1.441
596,1.401
621,1.395
623,1.395
625,1.43
958,1.441
962,1.4
a1421838000,1.351
24,1.35
53,1.37
143,1.37
149,1.42
316,1.44
365,1.381
454,1.38
646,1.38
649,1.58
790,1.58
792,1.58
838,1.68
841,1.68
a1425484800,1.85
17,1.81
41,1.771
188,1.85
211,1.761
212,1.761
282,1.751
286,1.69
379,1.62
500,1.73
TIMEZONE_OFFSET=120
643,1.79
664,1.79
669,1.654
a1429866000,1.671
1,1.64
264,1.78
311,1.76
338,1.74
432,1.73
767,1.72
797,1.88
817,1.88
818,1.88
a1434009600,1.88
1,1.88
124,1.88
432,1.761
439,1.7
674,1.64
864,1.75
a1438005600,1.721
162,1.701
330,1.721
382,1.86
529,1.899
548,1.73
673,1.7
764,1.63
859,1.6
a1441720800,1.531
210,1.45
313,1.447
526,1.4
529,1.34
644,1.311
669,1.415
718,1.54
719,1.491
a1445346000,1.57
44,1.47
67,1.42
73,1.34
TIMEZONE_OFFSET=60
144,1.379
360,1.381
478,1.401
531,1.48
650,1.401
692,1.36
697,1.35
815,1.34
865,1.361
a1450256400,1.47
337,1.36
340,1.352
530,1.375
871,1.46
a1458205200,1.48
TIMEZONE_OFFSET=120
362,1.381
365,1.399
435,1.399
483,1.39
a1462280400,1.46
48,1.475
142,1.46
187,1.46
188,1.48
189,1.515
217,1.58
218,1.598
404,1.595
548,1.593
549,1.506
576,1.506
691,1.52
692,1.521
883,1.592
979,1.592
982,1.592
a1466085600,1.506
90,1.592
165,1.59
283,1.589
355,1.52
644,1.569
958,1.5
a1469700000,1.46
629,1.51
647,1.648
840,1.45
a1474020000,1.569
264,1.559
502,1.461
747,1.461
821,1.48
935,1.559
937,1.48
TIMEZONE_OFFSET=60
a1478167200,1.529
791,1.5
938,1.499
961,1.44
983,1.48
a1481896800,1.42
116,1.425
311,1.5
312,1.528
331,1.521
333,1.521
404,1.535
405,1.55
406,1.55
457,1.64
475,1.601
482,1.621
645,1.601
669,1.57
958,1.58
979,1.639
"
