99SC
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484640180,11.19
20,11.195
31,10.99
43,11.195
386,11.29
449,10.955
488,10.955
502,11.335
a1484727180,11.32
47,10.96
84,10.96
90,10.97
253,10.98
355,10.95
458,10.815
479,10.97
a1484814780,10.825
380,10.825
455,10.8
462,10.8
a1484903340,10.61
110,10.65
111,10.61
112,10.645
113,10.65
136,10.795
283,10.75
288,10.7
290,10.625
293,10.54
309,10.645
310,10.785
343,11
391,10.995
407,10.915
419,10.915
437,11.07
439,11.075
a1485158700,11.125
25,11.18
27,11.185
28,11.185
34,11.19
408,11.15
422,10.95
461,10.91
a1485244980,11.1
24,10.905
51,11.095
123,11.135
282,11.005
392,11.055
409,11.15
a1485337560,11
313,11.22
396,11.07
399,11.07
a1485418980,11.24
1,11.295
4,11.295
110,11.09
149,11.155
173,11.09
339,11.18
380,11.185
a1485512760,11.295
17,11.2
42,11.06
61,11.055
98,11.195
145,11.195
190,11.2
207,11.295
255,11.28
a1485763380,11.09
1,11.3
9,11.32
11,11.125
293,11.125
a1485856740,11.47
17,11.475
42,11.485
43,11.8
45,12.1
48,12.1
62,11.845
69,11.87
82,11.865
123,12.03
124,11.87
149,11.8
151,11.49
199,11.645
212,11.44
381,11.44
388,11.44
a1485936180,11.575
340,11.545
439,11.545
482,11.4
a1486030800,11.365
197,11.305
a1486116840,11.105
4,10.98
5,10.98
31,10.92
42,10.92
115,10.9
176,10.755
374,10.98
a1486369860,11.175
80,11.2
83,10.84
101,11.105
106,11.12
117,11.125
121,11.04
162,11.02
168,11.045
206,11.11
253,11.11
349,10.87
361,10.87
363,10.995
411,11
a1486468020,11
a1486545360,10.995
2,11
107,11.03
386,10.895
427,10.99
a1486628040,10.8
9,10.8
13,10.8
161,10.515
323,10.69
a1486714320,10.88
3,10.915
35,10.88
79,11.12
125,10.93
162,10.9
164,10.9
329,10.85
a1486994580,10.905
a1487059320,11.1
328,10.855
331,10.85
450,10.88
502,10.995
a1487145780,11.09
232,10.9
a1487254020,11.085
134,11.025
a1487318580,11
1,11.15
3,11.375
59,11.335
77,11.345
96,11.33
110,11.33
126,11.3
139,11.35
140,11.3
148,11.28
156,11.28
171,11.26
184,11.32
310,11.5
364,11.585
394,11.7
456,11.7
458,12.1
459,11.82
502,12.095
503,12.1
a1487577780,12.33
20,12.37
26,12.335
67,12.35
68,12.345
82,12.335
91,12.115
125,12.06
146,12.06
180,11.98
198,12
200,12
210,12.205
422,12.2
478,12.21
a1487664180,12.38
16,12.375
36,12.375
42,12.21
89,12.21
245,12.23
329,12.345
a1487750940,12.35
8,12.35
35,12.38
51,12.38
134,12.215
171,12.24
214,12.24
291,12.215
343,12.21
387,12.21
424,12.21
a1487839200,12.23
55,12.235
218,12.23
259,12.21
352,12.41
410,12.41
421,12.3
a1487923380,12.05
13,12.105
15,12.1
17,12.06
73,12.005
164,12.125
209,12.13
278,12.125
282,12.125
291,12.25
337,12.125
349,12.285
396,12.315
428,12.355
459,12.205
478,12.205
502,12.205
a1488182580,12.1
46,12.12
241,12.25
283,12.19
478,12.195
505,12.425
a1488268980,12.23
4,12.2
30,12.4
109,12.425
a1488355320,12.4
2,12.495
78,12.215
407,12.23
471,12.435
473,12.455
a1488441780,12.46
77,12.44
92,12.45
93,12.45
a1488528180,12.5
1,12.495
106,12.355
414,12.445
417,12.45
454,12.5
455,12.5
456,12.5
457,12.795
458,12.8
459,13
460,13.005
462,13
475,13.005
478,13.45
481,13.005
482,13.005
487,13.33
498,13.35
499,13.32
504,13.31
"
