CSX1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484664240,14.785
a1484726700,14.43
4,14.3
120,14.2
a1484914800,14.425
a1485163380,14.17
290,14.13
364,14.085
a1485334500,14.49
1,14.5
6,14.53
134,14.595
a1485423180,14.98
119,14.95
a1485505020,14.5
46,14.38
71,14.36
260,14.36
377,14.36
383,14.35
a1485763500,14.35
86,14.265
102,14.2
a1485856680,14.54
a1485939600,14.2
1,14.15
a1486024740,14.1
409,13.88
a1486136640,14.03
a1486383960,14.05
a1486997640,14
a1487063520,14.25
218,14.205
243,14.02
a1487151540,14.45
1,14.46
155,14.43
236,14.5
347,14.5
375,14.54
379,14.54
a1487244960,14.46
259,14.2
a1487324280,14.315
"
