DAM
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484640180,52
5,51.41
23,52
24,52.2
250,52.2
315,52.2
427,52.2
a1484814540,51.4
237,51.94
346,51.95
439,51.4
a1485161460,51.41
185,51.92
301,51.91
365,51.41
373,51.4
377,51.41
a1485244980,51.4
16,51.41
147,51.84
238,51.84
a1485351960,51.4
a1485442980,51.4
9,51.4
87,51.4
a1485504180,51.4
33,51.79
78,51.79
426,51.4
a1485763380,51.2
60,51.74
87,51.74
192,51.4
408,51.4
a1485859140,51.79
92,51.79
150,51.79
286,51.1
a1485952260,51.91
13,51.91
51,51.28
a1486026240,51.74
129,51.59
a1486108980,51.25
2,51.94
63,51.28
a1486459500,51.74
62,51.74
167,51.27
369,51.56
379,51.56
406,51.25
a1486549920,51.25
79,51.25
106,51.2
109,51.59
a1486637520,51.02
1,50.99
2,51.1
6,51.28
115,51.4
256,51.05
329,51.4
a1486714620,51.4
153,51.92
217,51.94
249,52.25
257,51.75
367,51.78
a1486972980,50.79
112,52.07
235,52.18
293,52.17
507,52.18
a1487088360,51.52
2,52.19
4,52.2
a1487159160,51.51
207,51.8
223,51.8
256,52.25
261,52
a1487234400,51.95
24,52
65,52
94,52.25
102,52.25
104,52.49
300,52.05
a1487321100,52.15
26,52.52
70,52.52
268,52.15
390,52.52
462,52.5
"
