EMH1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484641260,10.595
21,10.475
22,10.595
60,10.535
a1484727480,10.4
16,10.495
29,10.485
31,10.495
146,10.5
161,10.545
228,10.32
232,10
246,10.175
253,10.195
260,10
a1484816160,10.295
40,10.35
443,10.35
453,10.05
a1484906820,10.28
230,10.345
321,10.345
322,10.345
334,10.345
a1485158580,10.4
105,10.39
504,10.53
a1485250800,10.305
1,10.3
a1485332460,10.3
16,10.295
28,10.295
29,10.3
42,10.3
97,10.3
129,10.305
152,10.3
189,10.3
a1485441780,10.29
51,10.39
95,10.45
96,10.455
97,10.45
a1485516240,10.49
232,10.49
a1485763380,10.45
19,10.485
42,10.4
62,10.49
119,10.4
163,10.4
221,10.4
264,10.49
302,10.4
384,10.36
a1485849900,10.31
5,10.15
206,10.345
290,10.345
a1485936180,10.45
40,10.055
105,10.32
106,10.32
181,10.15
237,10.12
270,10.035
282,10
288,9.75
313,9.65
315,9.45
337,9.55
386,9.758
406,9.7
432,9.526
a1486025220,9.992
2,9.8
113,9.737
131,9.651
456,9.831
a1486114080,9.947
a1486370820,9.95
18,10.2
68,10.245
132,9.85
185,10.05
203,10.15
a1486454580,10.22
56,10.195
278,9.9
a1486541700,10
8,10.045
a1486735920,9.85
2,9.3
a1486972980,9.85
a1487059380,9.46
79,9.778
a1487148540,9.661
a1487232180,9.9
255,9.817
a1487318580,9.9
a1487603280,9.699
a1487666340,9.6
a1487769540,9.699
a1487845440,9.699
a1487934780,9.55
308,9.355
a1488184620,9.582
51,9.649
a1488294660,9.6
1,9.7
20,9.75
27,9.796
28,9.85
31,9.95
33,9.945
34,9.945
a1488355440,10.045
2,10.045
4,10.2
69,10.2
89,10.055
233,10.05
236,10
246,10.045
440,10.13
448,10.13
a1488458040,10.01
150,9.95
a1488528180,10.2
10,10.205
81,10.205
223,10.2
224,10.2
a1488873780,9.95
45,10.15
a1488987720,10.2
a1489138500,10.18
209,9.944
a1489393200,10
455,9.887
a1489491840,10.1
a1489582740,10.05
a1489676880,9.95
a1489763280,9.85
a1490005920,9.717
267,9.71
337,9.85
341,10.05
342,10.05
356,10.05
a1490090040,10.29
214,10.3
338,9.95
372,9.95
a1490183160,9.762
23,9.71
243,9.69
a1490352360,9.76
TIMEZONE_OFFSET=120
a1490599260,9.522
89,9.75
131,9.75
135,9.6
162,9.6
225,9.699
a1490684580,9.6
34,9.6
111,9.6
a1490858280,9.7
53,9.6
150,9.699
229,9.749
a1490946000,9.844
77,9.844
336,9.501
a1491202980,9.5
243,9.749
375,9.75
a1491317460,9.84
a1491379080,9.845
23,9.601
443,9.301
a1491480600,9.301
a1491548700,9.7
68,9.699
116,9.5
a1491820860,9.45
59,9.201
62,9.1
81,8.806
82,8.65
86,8.481
90,8.749
91,8.749
105,8.389
106,8.65
107,8.65
118,8.85
119,8.85
136,9.089
265,9
266,9
a1491894180,9.08
4,8.96
52,9
105,8.999
154,9.1
285,9.15
286,9.2
287,9.33
440,9.33
446,9.33
a1491984060,9.45
273,9.343
320,9.599
a1492082280,9.519
13,9.589
101,9.451
111,9.451
204,9.451
"
