FMC1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484640300,12.055
309,11.805
342,11.865
459,11.85
473,11.85
482,11.845
487,11.83
488,11.82
489,11.81
a1484726700,11.755
1,11.75
2,11.755
35,11.82
46,11.865
195,11.73
238,11.705
293,11.665
389,11.61
390,11.61
391,11.59
395,11.59
474,11.62
493,11.6
a1484815680,11.805
9,11.76
12,11.715
14,11.7
27,11.625
274,11.65
343,11.705
404,11.8
407,11.81
410,11.81
a1484899500,11.795
4,11.72
10,11.72
53,11.77
68,11.77
74,11.77
113,11.815
177,11.83
253,11.74
299,11.74
333,11.71
383,11.65
410,11.65
411,11.68
421,11.6
422,11.6
499,11.615
a1485158700,11.71
126,11.61
249,11.6
262,11.58
302,11.635
329,11.59
349,11.605
386,11.51
403,11.555
463,11.45
467,11.445
481,11.445
487,11.45
a1485245100,11.485
31,11.535
97,11.555
129,11.555
192,11.57
195,11.57
230,11.545
237,11.535
256,11.5
293,11.515
300,11.5
351,11.415
390,11.53
486,11.62
a1485331500,11.81
1,11.83
36,11.905
52,11.83
53,11.83
61,11.84
71,11.845
101,11.83
119,11.83
127,11.8
176,11.8
177,11.8
192,11.805
193,11.805
207,11.8
221,11.8
239,11.8
328,11.87
351,11.86
359,11.815
399,11.84
439,11.91
464,11.865
a1485417900,11.965
49,11.965
72,11.97
101,11.93
102,11.93
110,11.93
169,11.915
177,11.93
184,11.93
200,11.93
214,11.93
221,11.93
236,11.91
265,11.88
280,11.76
307,11.91
336,11.91
354,11.895
368,11.875
392,11.735
398,11.63
412,11.595
417,11.605
421,11.635
422,11.645
439,11.755
490,11.635
a1485504300,11.65
90,11.695
110,11.685
253,11.645
268,11.7
284,11.72
331,11.655
366,11.62
445,11.6
a1485763500,11.69
18,11.75
41,11.665
71,11.7
140,11.75
366,11.715
415,11.6
429,11.56
442,11.565
450,11.58
474,11.505
479,11.52
a1485849900,11.58
144,11.565
212,11.53
294,11.5
384,11.455
388,11.445
403,11.4
420,11.3
444,11.365
457,11.445
469,11.455
a1485953280,11.51
79,11.535
85,11.535
152,11.595
194,11.53
a1486022700,11.42
6,11.41
108,11.48
369,11.39
389,11.385
395,11.39
409,11.355
445,11.38
447,11.35
469,11.41
497,11.405
a1486109100,11.65
41,11.47
43,11.47
44,11.47
45,11.47
46,11.47
47,11.47
256,11.575
257,11.53
264,11.575
408,11.575
435,11.62
437,11.65
a1486368300,11.825
26,11.785
66,11.785
69,11.75
314,11.73
339,11.68
438,11.785
485,11.7
487,11.69
488,11.695
a1486460460,11.84
72,11.74
241,11.725
255,11.72
345,11.665
a1486556940,11.625
5,11.625
59,11.59
127,11.51
186,11.55
a1486627500,11.55
56,11.51
130,11.59
153,11.59
275,11.5
287,11.465
296,11.585
391,11.5
487,11.73
a1486713900,11.65
13,11.695
14,11.695
15,11.695
16,11.695
136,11.7
159,11.7
166,11.735
278,11.715
351,11.73
358,11.735
375,11.725
391,11.74
408,11.75
501,11.75
a1486973100,11.82
30,11.815
32,11.815
55,11.8
56,11.78
80,11.78
123,11.8
136,11.8
157,11.795
231,11.805
268,11.805
279,11.83
282,11.835
307,11.8
484,11.815
488,11.83
a1487060280,11.785
161,11.84
190,11.895
198,11.895
201,11.9
202,11.925
203,11.93
208,11.94
218,11.94
242,11.98
246,12.015
247,12.03
248,12.015
253,12.035
271,12.005
284,11.98
305,11.95
365,11.905
369,11.9
410,11.94
411,11.91
a1487145900,12
39,12
69,12
126,12.125
127,12.125
147,12.02
228,12.03
311,12
361,12
462,11.945
484,11.905
a1487232300,12.045
38,11.9
228,11.905
367,11.865
377,11.86
422,11.795
471,11.75
483,11.725
492,11.72
a1487322120,11.77
61,11.85
101,11.775
191,11.815
222,11.82
244,11.78
401,11.76
a1487577900,12
18,11.875
38,11.91
115,11.995
282,12
307,11.935
a1487664300,11.92
1,11.92
59,11.95
118,11.835
314,11.965
338,11.98
392,12
452,12.02
493,12.01
a1487752200,12.1
225,12.095
234,12.095
375,12.005
384,12.1
434,12.13
456,12.055
458,12.085
a1487837100,12.035
72,12.02
122,12.04
184,12.06
387,12
388,11.99
427,11.965
465,11.98
a1487923500,11.895
109,11.89
145,11.89
148,11.89
187,11.875
208,11.905
215,11.81
216,11.805
217,11.8
231,11.815
232,11.815
239,11.8
282,11.8
318,11.79
345,11.78
346,11.78
420,11.765
434,11.715
445,11.71
"
