GTQ1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484654100,19.585
40,19.58
213,19.725
a1484729760,19.535
a1484837460,19.185
a1484916660,19.305
a1485182160,19.245
a1485245100,19.01
48,19.24
a1485331500,19.495
a1485417900,19.515
a1485763500,19.725
172,19.7
232,19.68
281,19.6
a1485870720,19.515
a1485936360,19.555
14,19.595
98,19.74
319,19.845
414,19.9
a1486022700,20.06
8,19.96
75,20.19
321,20.105
a1486111860,20.245
384,20.23
a1486368300,20.065
268,20.09
a1486479900,19.935
a1486553400,20.31
a1486627500,20.375
474,20.26
a1486714440,20.3
363,20.22
444,20.255
a1486975020,20.245
128,20.6
129,20.6
154,20.6
a1487078640,20.465
a1487145900,20.48
141,20.48
279,20.49
a1487235360,20.31
16,20.31
188,20.31
351,20.31
a1487347200,20.345
a1487577900,20.605
502,20.46
a1487674440,20.45
206,20.46
235,20.6
239,20.6
326,20.59
a1487750700,20.605
26,20.65
31,20.68
281,20.465
341,20.56
395,20.585
431,20.53
a1487842740,20.63
346,20.515
383,20.5
a1487923800,21.39
99,21.17
164,20.8
192,20.9
476,21.115
a1488182700,21.045
32,21.05
36,21
38,20.945
40,20.94
241,20.94
286,21.025
a1488272520,20.975
379,20.975
430,20.965
a1488374040,21.27
2,21.235
180,21.32
a1488441900,21.47
32,21.41
175,21.5
196,21.5
457,21.53
466,21.545
a1488528300,21.505
30,21.47
397,21.44
410,21.42
"
