HRPK
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484642820,2.381
39,2.4
155,2.38
171,2.38
235,2.389
265,2.38
275,2.38
311,2.37
327,2.38
330,2.371
343,2.371
347,2.38
371,2.392
384,2.424
393,2.4
394,2.4
a1484726580,2.4
70,2.381
94,2.381
103,2.375
121,2.418
249,2.376
292,2.4
391,2.408
409,2.375
431,2.408
462,2.358
a1484830920,2.352
9,2.351
138,2.389
144,2.389
171,2.389
193,2.387
a1484899380,2.35
159,2.37
172,2.361
247,2.352
271,2.35
293,2.35
294,2.341
a1485160680,2.382
220,2.4
249,2.403
258,2.426
307,2.439
309,2.439
313,2.439
354,2.406
364,2.401
367,2.4
383,2.4
a1485244980,2.447
1,2.444
265,2.37
338,2.399
361,2.383
429,2.383
461,2.399
469,2.399
495,2.394
a1485332700,2.394
82,2.392
94,2.392
141,2.395
198,2.399
334,2.397
358,2.397
370,2.385
371,2.385
390,2.385
a1485417780,2.387
2,2.397
12,2.388
216,2.388
230,2.388
311,2.4
312,2.405
364,2.406
384,2.419
393,2.419
a1485504180,2.405
200,2.405
208,2.419
289,2.405
319,2.4
333,2.39
369,2.387
375,2.387
396,2.388
397,2.388
412,2.39
448,2.389
a1485763380,2.42
49,2.4
83,2.4
185,2.4
209,2.387
211,2.381
214,2.382
216,2.382
217,2.382
229,2.382
309,2.382
344,2.383
345,2.381
348,2.38
a1485850800,2.389
46,2.389
130,2.364
222,2.362
a1485937800,2.361
122,2.361
a1486022580,2.38
58,2.36
65,2.36
103,2.36
121,2.378
168,2.378
185,2.354
256,2.354
469,2.379
488,2.379
a1486110420,2.375
109,2.363
293,2.375
361,2.389
419,2.385
439,2.373
451,2.373
a1486368180,2.363
118,2.369
149,2.388
227,2.389
378,2.375
459,2.375
501,2.376
a1486455780,2.349
55,2.337
273,2.34
308,2.34
356,2.35
431,2.35
446,2.344
a1486548720,2.35
252,2.361
a1486627380,2.35
57,2.334
103,2.333
165,2.334
314,2.354
327,2.333
403,2.333
406,2.331
410,2.331
420,2.331
449,2.33
490,2.33
a1486714320,2.33
7,2.33
43,2.349
59,2.331
72,2.349
94,2.349
145,2.351
344,2.365
a1486972980,2.38
1,2.399
20,2.355
141,2.35
198,2.333
200,2.332
247,2.32
248,2.329
282,2.329
284,2.329
422,2.35
426,2.35
435,2.334
507,2.358
a1487060100,2.303
26,2.303
187,2.357
191,2.361
287,2.338
288,2.338
309,2.349
322,2.349
323,2.349
324,2.349
325,2.349
327,2.349
336,2.35
373,2.35
398,2.356
441,2.351
470,2.367
a1487150880,2.346
11,2.352
85,2.351
110,2.351
119,2.35
153,2.35
165,2.331
209,2.333
214,2.333
243,2.34
264,2.34
355,2.349
367,2.351
399,2.349
400,2.347
411,2.35
a1487232180,2.36
53,2.334
274,2.323
309,2.35
465,2.33
a1487318580,2.39
146,2.336
a1487577780,2.31
25,2.31
78,2.32
117,2.349
172,2.346
251,2.321
328,2.33
329,2.321
412,2.321
488,2.348
a1487664180,2.32
41,2.32
183,2.324
186,2.349
258,2.349
286,2.349
381,2.345
487,2.363
a1487771460,2.355
a1487836980,2.35
29,2.369
30,2.38
37,2.398
42,2.399
49,2.42
66,2.433
95,2.424
104,2.424
136,2.395
139,2.419
143,2.419
200,2.41
213,2.41
215,2.401
244,2.413
250,2.384
280,2.403
322,2.399
329,2.4
365,2.4
376,2.403
451,2.409
506,2.405
a1487924760,2.39
7,2.39
22,2.39
23,2.405
27,2.405
31,2.406
38,2.4
39,2.4
53,2.4
70,2.404
85,2.404
90,2.404
166,2.415
242,2.415
266,2.405
267,2.405
422,2.4
464,2.402
468,2.41
a1488182580,2.44
59,2.385
61,2.421
152,2.382
308,2.39
a1488272160,2.409
95,2.392
104,2.41
171,2.419
407,2.392
454,2.418
a1488360000,2.418
282,2.418
368,2.4
a1488441780,2.42
33,2.401
43,2.41
111,2.42
163,2.402
192,2.42
280,2.434
295,2.434
377,2.421
a1488528180,2.42
39,2.421
218,2.43
226,2.43
234,2.434
438,2.437
457,2.437
458,2.438
461,2.43
506,2.42
"
