LHL
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484640300,0.629
1,0.627
104,0.621
105,0.621
106,0.62
118,0.627
141,0.62
160,0.621
161,0.621
162,0.62
163,0.62
239,0.621
243,0.627
363,0.624
482,0.627
494,0.628
495,0.629
496,0.627
a1484726700,0.628
25,0.624
46,0.624
61,0.618
77,0.623
161,0.623
285,0.62
395,0.622
498,0.624
a1484813100,0.623
74,0.616
113,0.617
398,0.619
464,0.62
479,0.617
480,0.617
a1484899500,0.612
7,0.613
34,0.613
66,0.613
97,0.613
102,0.61
107,0.613
114,0.612
120,0.611
123,0.611
132,0.617
439,0.614
475,0.618
a1485158700,0.604
12,0.603
67,0.601
129,0.603
130,0.605
162,0.603
167,0.601
187,0.603
241,0.601
293,0.601
379,0.601
394,0.601
451,0.603
470,0.603
a1485245100,0.603
2,0.6
62,0.597
161,0.602
190,0.6
235,0.6
473,0.597
a1485331500,0.602
60,0.606
76,0.605
108,0.605
155,0.605
163,0.602
190,0.606
203,0.602
292,0.602
322,0.602
481,0.603
483,0.603
500,0.606
a1485422520,0.612
2,0.617
60,0.612
91,0.616
94,0.612
168,0.616
176,0.617
188,0.616
197,0.616
250,0.617
253,0.616
267,0.616
314,0.615
347,0.612
397,0.618
426,0.62
a1485506400,0.62
48,0.619
68,0.617
70,0.617
95,0.619
108,0.615
369,0.615
370,0.615
376,0.615
381,0.615
383,0.619
440,0.618
a1485763500,0.613
59,0.614
74,0.614
93,0.614
132,0.614
136,0.61
259,0.615
297,0.612
331,0.612
434,0.612
477,0.601
478,0.608
a1485854760,0.607
245,0.611
281,0.61
a1485936300,0.6
34,0.601
38,0.601
80,0.608
117,0.608
392,0.608
471,0.605
476,0.607
a1486023000,0.6
2,0.591
81,0.597
84,0.597
127,0.595
217,0.596
368,0.597
381,0.597
441,0.595
491,0.593
a1486109100,0.601
159,0.597
173,0.6
227,0.596
426,0.603
481,0.598
a1486371660,0.608
8,0.608
52,0.608
139,0.608
218,0.607
266,0.608
302,0.6
313,0.608
356,0.601
361,0.601
a1486454700,0.605
95,0.604
378,0.604
392,0.605
427,0.609
431,0.61
478,0.606
a1486543920,0.613
148,0.62
181,0.618
278,0.62
279,0.62
295,0.62
313,0.618
364,0.62
a1486627500,0.62
6,0.62
83,0.618
111,0.618
207,0.623
212,0.623
280,0.623
283,0.623
314,0.619
409,0.62
434,0.62
498,0.618
499,0.62
500,0.62
a1486713900,0.621
17,0.622
34,0.625
35,0.627
42,0.627
130,0.627
158,0.625
215,0.625
224,0.625
253,0.625
255,0.625
340,0.626
341,0.625
342,0.625
388,0.629
475,0.629
a1486973100,0.629
1,0.629
15,0.627
16,0.626
32,0.63
51,0.632
59,0.629
78,0.629
97,0.63
150,0.63
193,0.632
198,0.636
235,0.638
243,0.638
301,0.637
317,0.64
359,0.635
367,0.64
373,0.638
392,0.639
395,0.638
399,0.638
413,0.635
419,0.641
451,0.641
486,0.641
a1487059500,0.636
51,0.627
155,0.626
182,0.627
210,0.627
225,0.627
239,0.627
263,0.627
281,0.623
364,0.623
367,0.627
378,0.624
463,0.628
476,0.632
479,0.633
486,0.632
a1487149200,0.637
65,0.636
227,0.636
230,0.635
235,0.636
255,0.636
334,0.635
348,0.631
385,0.632
417,0.633
a1487232300,0.594
4,0.588
9,0.589
10,0.589
15,0.59
20,0.59
23,0.594
25,0.59
43,0.585
47,0.585
49,0.585
53,0.585
55,0.585
62,0.585
69,0.589
84,0.587
86,0.584
91,0.588
102,0.584
108,0.59
111,0.59
131,0.59
140,0.592
152,0.59
167,0.59
183,0.59
203,0.588
213,0.59
215,0.59
237,0.59
249,0.588
250,0.588
265,0.588
281,0.59
311,0.59
317,0.593
319,0.593
347,0.59
348,0.588
386,0.59
448,0.593
451,0.59
495,0.59
a1487318700,0.574
16,0.577
20,0.577
26,0.573
28,0.576
44,0.57
51,0.568
82,0.572
84,0.57
91,0.57
98,0.57
100,0.57
108,0.57
130,0.57
174,0.569
190,0.569
204,0.569
218,0.567
223,0.57
238,0.57
262,0.57
268,0.57
279,0.57
301,0.568
311,0.568
331,0.568
366,0.57
399,0.57
408,0.57
409,0.57
423,0.568
439,0.57
446,0.568
462,0.57
468,0.567
480,0.567
482,0.567
490,0.566
504,0.568
"
