PPA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1485252300,2.081
a1485776280,2.101
a1485876840,2.099
a1486368180,2.4
8,2.35
16,2.298
228,2.201
229,2.2
234,2.15
258,2.199
337,2.199
338,2.101
340,2.12
341,2.12
343,2.12
361,2.119
363,2.199
a1486455720,2.1
348,2.053
350,2.053
392,2.1
415,2.1
450,2.053
466,2.111
a1486540980,2.08
21,2.1
26,2.11
30,2.15
56,2.11
85,2.081
91,2.081
142,2.03
255,2.061
408,2.06
417,2.05
418,2.031
471,2.129
481,2.031
a1486627380,2.05
52,2.05
161,2.052
292,2.052
500,2.05
501,2.05
502,2.05
a1486723560,2.05
1,2.05
68,2.06
92,2.069
256,2.05
a1486992840,2.032
46,2
94,2.029
a1487059380,2.05
68,2.05
85,2.05
86,2.05
317,2.089
324,2.083
326,2.05
378,2.05
419,2.005
482,2.01
483,2.01
493,2.01
497,2.01
a1487148480,2.01
144,2.01
237,2.01
a1487238000,2.01
a1487583360,2
8,2.1
10,2.1
72,2.05
143,2.05
188,2.05
189,2.04
252,2
309,2.11
310,2.051
311,2.015
314,2.115
315,2.115
318,2.189
361,2.194
367,2.105
369,2.15
378,2.125
379,2.07
381,2.055
394,2.031
398,2.1
399,2.1
406,2.09
a1487664180,2.15
8,2.152
33,2.151
110,2.151
142,2.151
150,2.151
165,2.169
184,2.193
202,2.18
220,2.193
250,2.18
309,2.15
311,2.07
315,2.07
316,2.07
486,2.112
a1487760060,2.146
a1487839440,2.139
403,2.08
a1487924520,2.071
62,2.071
68,2.06
173,2.05
279,2.05
290,2.04
"
