TA1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484668740,5.621
a1485254340,5.589
340,5.594
a1485786120,5.62
a1485861720,5.7
1,5.7
a1485937800,5.79
a1486044900,5.774
a1486136640,5.846
a1486727640,5.83
99,5.85
a1486973520,5.81
a1487085420,5.8
a1487318700,5.772
a1487578740,5.704
204,5.899
a1487758440,5.92
a1488358500,6.1
203,6.09
a1488458460,6.1
a1488981780,6.08
a1489413000,6.004
a1489479840,6.02
a1489656000,6.064
a1489997100,6.254
102,6.108
342,6.148
a1490083500,6.197
a1490262180,6.166
322,6.24
323,6.24
a1490364840,6.206
TIMEZONE_OFFSET=120
a1490775420,6.185
a1490862420,6.389
29,6.389
30,6.4
32,6.4
113,6.4
176,6.4
179,6.4
233,6.4
240,6.4
244,6.4
364,6.436
389,6.439
396,6.448
a1491217680,6.48
a1491301380,6.472
202,6.343
a1491486000,6.451
a1491809100,6.3
1,6.3
a1492008900,6.22
a1492526520,6.262
a1492702200,6.162
a1493043000,6.35
a1493208480,6.41
a1493387580,6.46
a1493708700,6.401
413,6.401
417,6.401
447,6.521
a1493804340,6.384
99,6.501
a1493902320,6.466
a1493972280,6.5
279,6.55
369,6.574
a1494316860,6.515
a1494572700,6.705
a1494934980,7.14
145,7.24
a1495100460,7.055
52,6.947
307,7.1
a1495184820,7.06
191,7.049
246,7.115
287,7.183
a1495436760,7.13
"
