WUG3
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484645520,22.2
3,22.325
46,22.52
48,22.335
49,22.235
71,22.32
86,22.32
91,22.2
110,22.315
132,22.315
133,22.315
184,22.2
185,22.2
a1484726580,22.48
2,22.475
28,22.475
57,22.305
124,22.475
156,22.475
161,22.475
246,22.475
360,22.355
493,22.34
a1484812980,22.48
24,22.485
45,22.48
71,22.48
79,22.48
127,22.48
128,22.48
143,22.405
145,22.405
176,22.405
272,22.41
293,22.585
328,22.405
436,22.33
a1484905320,22.4
1,22.25
156,22.54
a1485159480,22.425
a1485246720,22.585
12,22.585
131,22.585
239,22.585
432,22.465
433,22.575
a1485334440,22.575
21,22.575
114,22.575
a1485432180,22.145
16,22.375
251,22.38
a1485504240,22.155
21,22.38
29,22.375
30,22.38
314,22.48
374,22.38
478,22.48
482,22.58
484,22.7
485,22.7
486,22.69
487,22.7
488,22.69
489,22.69
493,22.7
497,22.69
a1485763380,22.685
9,22.685
15,22.7
20,22.7
21,22.7
23,23.45
27,23.32
46,23.105
49,23.005
59,23
60,23
69,22.9
85,22.995
122,23
130,23
137,23.055
141,22.995
172,22.91
216,22.91
221,22.875
223,22.865
235,22.9
284,22.985
285,22.985
290,22.99
292,23
293,23
311,23.17
368,23
370,22.89
472,22.89
473,22.89
474,22.89
a1485850440,22.655
6,22.85
23,22.855
41,22.85
101,22.925
106,22.92
119,22.94
193,22.96
200,22.965
238,22.97
277,23.01
317,23.1
324,23.15
413,23.005
427,23.145
439,23.145
446,23.01
478,22.975
a1485936120,22.65
6,22.995
7,23.375
19,23.03
94,23.345
169,23.03
216,23.2
217,23.2
469,23.2
471,23.24
a1486024080,23.295
5,23.295
152,23.295
156,23.01
169,23.295
178,23.295
362,23.025
392,23.005
421,23.005
441,23.275
451,23.02
469,23.015
474,23.015
477,23.055
a1486109400,23
40,23.11
51,23.005
91,23.29
123,23.25
163,23.295
190,23.25
248,23.3
346,23.25
410,23.065
411,23.245
445,23.195
474,23.25
a1486368180,23.29
25,23.2
44,23.285
108,23.005
147,23.285
305,23.29
396,23.105
448,23.105
476,23.1
"
