BASA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484641080,88.25,88.25,88.25,88.25,100
61,87.87,87.87,87.87,87.87,70
120,87.7,87.7,87.7,87.7,30
349,88.17,88.17,88.17,88.17,32
a1484726940,88.73,88.86,88.73,88.86,50
414,89,89,89,89,30
a1484814540,90,90,90,90,70
223,90.3,90.3,90.3,90.3,4
338,89.69,89.69,89.69,89.69,16
a1484901360,89.26,89.26,89.26,89.26,84
8,89.26,89.26,89.26,89.26,36
135,89.6,89.6,89.5,89.5,570
160,89.24,89.25,89.24,89.25,60
a1485160740,88.75,88.75,88.75,88.75,120
294,89.27,89.27,89.27,89.27,200
a1485255360,88.64,88.64,88.64,88.64,600
322,88.64,88.64,88.64,88.64,100
323,88.7,88.7,88.7,88.7,100
a1485333360,90.05,90.05,90.05,90.05,250
65,90,90,90,90,16
296,90,90,90,90,7
a1485417660,89.73,89.73,89.73,89.73,25
165,90.1,90.1,90.1,90.1,20
374,90.42,90.42,90.42,90.42,86
396,90.5,90.5,90.5,90.5,150
a1485510120,90.81,90.81,90.79,90.79,1092
15,90.8,90.8,90.8,90.8,1000
75,90.59,90.59,90.59,90.59,10
256,90.74,90.74,90.74,90.74,300
259,90.66,90.66,90.66,90.66,760
390,90.84,90.84,90.84,90.84,100
"
