BLQA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484640300,356.5,356.5,356.5,356.5,110
4,355.75,355.75,355.75,355.75,100
65,357,357,357,357,3
88,357,357,357,357,3
154,357,357,357,357,6
383,354,354,354,354,30
408,351,351,351,351,10
412,350,350,350,350,41
424,348.6,348.6,348.6,348.6,15
464,352.45,352.45,352.45,352.45,7
a1484727120,352.6,352.6,352.6,352.6,30
1,351.7,351.7,351.7,351.7,30
23,352,352,352,352,50
35,353,353,353,353,45
82,353,353,353,353,3
102,353,353,353,353,1
107,353,353,353,353,6
109,353.1,353.1,353.1,353.1,39
135,354.1,354.1,354.1,354.1,9
170,354.9,354.9,354.9,354.9,1
207,353.9,353.9,353.9,353.9,5
277,353.4,353.4,353.4,353.4,5
483,353,353,353,353,20
498,353.85,353.85,353.85,353.85,100
a1484813100,356.5,356.5,356.5,356.5,11
70,355.9,355.9,355.9,355.9,1
113,355,355,355,355,8
124,355,355,355,355,2
299,355.9,355.9,355.9,355.9,50
434,358.25,358.25,358.25,358.25,15
435,358.2,358.2,357.65,357.65,16
479,357,357,357,357,20
a1484899740,356.7,356.7,356.7,356.7,15
17,356,356,356,356,5
41,356.3,356.3,356.3,356.3,8
467,357.55,357.55,357.55,357.55,5
501,357.55,357.55,357.55,357.55,4
a1485158880,355,355,355,355,14
41,352.55,352.55,352.55,352.55,15
306,358,358,358,358,5
411,353.5,353.5,353.5,353.5,22
431,353.5,353.5,353.5,353.5,12
446,352.5,352.5,352.5,352.5,20
452,351.5,351.5,351.5,351.5,20
a1485245100,354.85,354.85,354.85,354.85,5
155,355,355,355,355,3
166,355.45,355.45,355.2,355.2,70
167,353.55,353.55,353.55,353.55,16
172,355.7,355.7,355.7,355.7,56
472,355.3,355.3,355.3,355.3,3
491,354.15,354.15,354.15,354.15,48
492,354.6,354.6,354.6,354.6,8
a1485331500,358,358,358,358,15
94,358.2,358.2,358.2,358.2,30
151,354.65,354.65,354.65,354.65,10
222,358.15,358.15,358.15,358.15,3
304,358.65,358.65,358.65,358.65,10
414,361.6,361.6,361.6,361.6,854
a1485417900,364,364,364,364,10
43,363.95,363.95,363.95,363.95,8
173,365.3,365.3,365.3,365.3,7
266,364.35,364.35,364.35,364.35,10
330,365,365,365,365,3
396,360,360,360,360,8
411,361.2,361.2,361.2,361.2,30
a1485504300,357,357,357,357,10
79,355,355,355,355,25
80,354.15,354.15,354.15,354.15,30
164,356,356,356,356,10
325,360,360,360,360,75
328,356,356.05,356,356.05,295
354,358,358,358,358,100
365,357.1,357.1,357.1,357.1,70
366,355,355,355,355,70
501,350,351,350,351,18
a1485764340,350,350,350,350,15
218,350.1,350.1,350.1,350.1,5
366,353.8,353.8,353.8,353.8,10
374,352,352,352,352,50
378,350,350,350,350,30
405,350.7,350.7,350.7,350.7,5
472,348.05,348.05,348.05,348.05,62
"
