CCAP
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484663100,23.4,23.4,23.4,23.4,5
14,23.4,23.4,23.4,23.4,450
a1484756400,23.4,23.4,23.395,23.395,134
2,23.4,23.4,23.4,23.4,800
a1484915280,23.4,23.4,23.4,23.4,3000
188,23.4,23.4,23.4,23.4,164
207,23.5,23.5,23.5,23.5,2
a1485182460,23.5,23.5,23.5,23.5,450
70,23.5,23.5,23.5,23.5,914
a1485331560,23.5,23.5,23.5,23.5,790
75,23.5,23.5,23.5,23.5,450
a1485506340,23.5,23.5,23.5,23.5,1000
48,23.5,23.5,23.5,23.5,1394
62,23.4,23.4,23.4,23.4,4000
66,23.6,23.6,23.6,23.6,1000
132,23.6,23.6,23.6,23.6,2600
419,23.6,23.6,23.6,23.6,1106
a1485783300,23.6,23.6,23.6,23.6,294
90,23.695,23.695,23.695,23.695,200
162,23.7,23.7,23.69,23.69,1400
165,23.695,23.695,23.695,23.695,394
166,23.7,23.7,23.7,23.7,1306
"
