DEX
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=60
a1484640180,17.81,17.81,17.81,17.81,70
14,17.81,17.81,17.81,17.81,22
38,17.945,17.945,17.945,17.945,37
202,17.75,17.75,17.75,17.75,326
247,17.75,17.75,17.75,17.75,250
383,18.01,18.01,18.005,18.005,200
494,18,18,18,18,38
a1484736600,18.035,18.035,18.01,18.01,600
114,18,18,18,18,354
140,18.03,18.03,18.03,18.03,34
319,18.03,18.03,18.02,18.02,302
323,18.03,18.03,18.03,18.03,164
339,18.04,18.04,18.04,18.04,166
a1484839560,18.01,18.01,18.01,18.01,94
27,17.81,17.81,17.81,17.81,1000
28,17.81,17.81,17.81,17.81,1906
50,18.01,18.01,18.01,18.01,37
55,17.81,17.81,17.81,17.81,1063
56,17.81,17.81,17.81,17.81,900
a1484899800,17.81,17.81,17.81,17.81,3079
14,17.65,17.65,17.65,17.65,500
63,17.8,17.8,17.795,17.795,2296
73,17.8,17.8,17.8,17.8,704
81,17.8,17.8,17.8,17.8,1000
82,17.8,17.8,17.8,17.8,296
97,18.01,18.01,18.01,18.01,239
98,18.01,18.01,18.01,18.01,370
100,18.02,18.02,18.01,18.01,1000
101,18,18.02,18,18.02,316
106,18,18.04,18,18.02,2364
107,18,18,18,18,800
127,17.89,17.95,17.89,17.95,612
128,17.8,17.85,17.8,17.85,572
180,17.795,17.795,17.795,17.795,14
a1485158580,17.51,17.51,17.51,17.51,25
34,17.8,17.8,17.795,17.795,284
45,17.8,17.8,17.8,17.8,64
110,17.8,17.8,17.8,17.8,19
166,17.8,17.8,17.8,17.8,100
307,17.72,17.72,17.72,17.72,340
382,17.605,17.605,17.605,17.605,30
460,17.8,17.8,17.795,17.795,250
a1485244980,17.8,17.8,17.8,17.8,6
4,17.8,17.8,17.8,17.8,3305
5,17.8,17.8,17.8,17.8,100
73,17.795,17.795,17.795,17.795,100
86,17.8,17.8,17.8,17.8,1000
87,17.8,17.8,17.8,17.8,496
89,17.8,17.8,17.8,17.8,539
90,17.8,17.8,17.8,17.8,1800
96,17.8,17.8,17.8,17.8,1659
111,17.8,17.8,17.8,17.8,341
124,17.8,17.8,17.8,17.8,16
128,17.8,17.8,17.8,17.8,1867
133,17.8,17.805,17.8,17.805,1071
135,17.8,17.8,17.795,17.8,1127
152,17.8,17.8,17.8,17.8,170
179,17.8,17.805,17.795,17.805,2725
191,17.8,17.8,17.8,17.8,55
265,17.8,17.8,17.8,17.8,115
267,17.755,17.8,17.755,17.8,344
333,17.8,17.8,17.795,17.795,2624
345,17.8,17.8,17.8,17.8,3220
400,17.8,17.8,17.8,17.8,2820
403,17.8,17.8,17.8,17.8,229
409,17.8,17.8,17.8,17.8,247
500,17.8,17.8,17.8,17.8,69
507,17.8,17.8,17.8,17.8,66
a1485336360,17.55,17.55,17.55,17.55,1250
7,17.55,17.55,17.55,17.55,1250
9,17.5,17.5,17.5,17.5,1485
15,17.425,17.425,17.425,17.425,80
48,17.425,17.425,17.425,17.425,120
65,17.54,17.54,17.31,17.31,253
310,17.175,17.175,17.175,17.175,729
313,17.255,17.255,17.255,17.255,45
316,17.255,17.255,17.255,17.255,45
350,17.455,17.455,17.455,17.455,321
379,17.4,17.405,17.4,17.405,1092
384,17.4,17.4,17.4,17.4,445
393,17.34,17.34,17.34,17.34,23
403,17.32,17.32,17.32,17.32,654
404,17.205,17.205,17.205,17.205,1
405,17.205,17.205,17.205,17.205,60
408,17.25,17.255,17.25,17.255,1103
420,17.25,17.25,17.25,17.25,217
423,17.25,17.25,17.25,17.25,190
a1485417780,17.25,17.25,17.25,17.25,350
6,17.5,17.5,17.5,17.5,95
114,17.26,17.315,17.255,17.315,1690
337,17.475,17.475,17.475,17.475,28
356,17.25,17.25,17.25,17.25,74
446,17.25,17.25,17.25,17.25,1926
453,17.5,17.5,17.5,17.5,200
a1485534240,17.5,17.5,17.5,17.5,165
1,17.505,17.505,17.505,17.505,28
3,17.505,17.505,17.505,17.505,254
a1485782460,17.28,17.28,17.28,17.28,640
6,17.55,17.55,17.55,17.55,69
9,17.27,17.295,17.27,17.295,1000
67,17.44,17.44,17.44,17.44,21
157,17.25,17.25,17.25,17.25,554
"
