4OR
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491980700,2.72
3,2.72
4,2.728
10,2.72
13,2.74
17,2.74
32,2.75
39,2.706
115,2.75
343,2.716
419,2.744
435,2.69
436,2.69
467,2.664
a1492079100,2.734
86,2.656
195,2.65
204,2.65
a1492499100,2.649
40,2.66
50,2.698
188,2.63
257,2.603
392,2.57
393,2.57
413,2.55
485,2.4
486,2.4
a1492593300,2.529
185,2.549
270,2.465
355,2.527
362,2.517
363,2.517
366,2.523
a1492672260,2.45
57,2.45
169,2.46
259,2.402
285,2.4
a1492758420,2.538
422,2.5
427,2.5
483,2.5
a1493017500,2.548
a1493105640,2.559
306,2.602
347,2.53
383,2.569
a1493203320,2.575
141,2.631
182,2.606
a1493282160,2.659
53,2.66
328,2.64
329,2.64
333,2.64
a1493377320,2.699
a1493710620,2.76
175,2.649
284,2.66
346,2.66
352,2.659
360,2.71
378,2.71
459,2.632
468,2.661
"
