ADE
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491980700,6.859
352,6.801
a1492066980,6.8
126,6.979
208,6.979
453,6.969
a1492498980,6.9
50,6.969
91,6.86
317,6.969
471,6.861
a1492585380,6.97
91,6.969
127,6.96
187,6.861
189,6.861
389,6.845
442,6.845
475,6.845
a1492671780,6.801
7,6.802
111,6.95
a1492758180,6.8
33,6.969
349,6.969
467,6.969
504,6.969
a1493017380,7.009
32,7.048
48,7.048
205,7
207,6.811
266,7.048
376,7.048
396,6.857
a1493103900,7.037
110,6.802
151,7.026
160,6.8
162,6.481
270,6.637
299,6.637
319,6.637
367,6.789
462,6.6
a1493191320,6.829
66,6.824
79,6.824
453,6.751
458,6.979
a1493276580,6.98
16,6.66
189,6.661
267,6.7
a1493362980,6.72
6,6.7
30,6.601
89,6.6
153,6.628
365,6.501
406,6.501
496,6.599
a1493708580,6.629
14,6.599
159,6.599
238,6.501
268,6.501
271,6.501
343,6.501
400,6.501
503,6.689
"
