AT1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1492069080,4.676
43,4.676
a1492499100,4.815
17,4.815
38,4.7
115,4.815
247,4.815
a1492591320,4.7
a1492673700,4.68
35,4.819
354,4.839
a1492764180,4.651
a1493017500,4.7
35,4.7
335,4.7
a1493109180,4.65
24,4.65
90,4.65
a1493193360,4.7
24,4.7
a1493287320,4.8
193,4.8
280,4.8
312,4.8
a1493364600,4.8
281,4.8
333,4.77
479,4.799
a1493708700,4.8
92,4.8
96,4.8
97,4.8
98,4.8
245,4.8
494,4.66
"
