CMC
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1492003920,80.72
4,80.65
24,80.64
35,80.48
60,80.59
62,80.64
105,80.44
107,80.44
a1492067700,79.41
41,79.61
45,80.19
46,80.2
47,80.2
120,80
165,79.95
206,80.56
207,80.56
221,81.45
226,81.23
263,81.11
274,81.04
294,80.72
315,80.69
322,80.71
326,80.64
331,80.67
344,80.55
358,80.75
363,80.69
377,80.3
378,80.23
380,80.41
381,80.56
382,80.55
390,81.34
391,81.32
406,81.5
409,81.65
440,81.34
442,81.14
a1492499100,81
87,80.43
140,80.65
143,81.04
158,80.94
384,79.91
409,79.88
448,79.8
450,80.01
463,79.93
469,79.74
a1492588260,79.3
50,79.54
51,79.54
52,79.54
90,79.79
296,79.88
312,79.88
333,79.82
338,79.77
339,79.67
377,80.1
382,80.2
a1492687200,78.79
a1492758300,80.05
399,79.98
a1493017500,79.25
40,78.95
53,79.49
58,79.04
61,79.04
81,79.17
88,79.15
97,79.15
104,79.15
135,79.35
136,79.34
189,79.44
192,79.72
239,79.53
272,79.5
296,79.44
385,79.62
413,80.09
420,80.26
455,80.14
458,80.25
a1493107560,80.96
85,80.63
119,81.1
125,80.76
141,80.63
288,81.07
329,81.57
330,81.52
376,81.39
388,81.29
407,81.27
a1493213340,81.22
a1493276700,80.77
1,80.72
207,81.13
372,81.4
373,81.4
382,81.36
391,81.16
a1493383920,80.3
35,80.3
42,80.39
a1493718120,79.61
135,79.96
201,79.51
218,79.51
230,79.56
237,79.51
245,79.32
273,79.15
"
