EBA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1492003920,32.12
18,32.44
48,32.61
62,32.41
a1492085460,32.32
95,32.345
150,32.525
a1492499100,32.42
136,32.32
390,32
392,32.09
398,32.09
402,31.985
446,31.855
a1492585500,32.015
396,31.935
a1492672020,30.99
25,30.995
151,30.825
158,30.905
172,30.935
224,31
232,30.825
236,31
251,31.295
293,30.75
296,30.8
298,30.95
315,30.685
329,30.5
333,30.505
344,30.62
373,30.395
387,30.37
388,30.34
396,30.19
397,30.2
398,30.335
399,30.335
400,30.205
401,30.205
403,30.165
410,30.435
411,30.355
427,30.33
429,30.335
431,30.34
436,30.505
438,30.575
444,30.565
445,30.55
484,30.315
a1492758300,30.48
275,30.435
281,30.575
386,30.43
389,30.1
392,30.11
393,30.03
398,30.165
505,30.09
a1493017500,30.1
58,30
59,29.9
147,29.95
302,30.1
336,29.955
366,29.92
392,29.995
a1493103900,29.4
61,29.49
230,29.45
232,29.49
352,29.66
366,29.505
388,29.5
389,29.425
390,29.45
392,29.38
398,29.395
421,29.55
503,29.54
a1493190420,30.1
386,30.15
399,30
411,29.95
a1493276820,30.55
40,30.545
87,30.25
489,30.35
494,30.47
a1493363100,30.54
28,30.4
132,30.21
266,30.4
287,30.57
327,30.255
339,30.305
342,30.42
344,30.375
351,30.325
373,30.345
396,30.205
410,30.235
a1493708700,30.895
5,30.745
111,30.655
390,30.66
392,30.72
393,30.705
"
