ELN
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491985080,7.049
16,6.97
96,6.999
118,7.05
266,7
291,7.01
292,7.05
297,7.6
310,7.201
311,7.101
312,7.1
316,7
343,6.65
345,6.5
346,6.519
359,6.52
362,7
a1492067580,6.85
17,7.2
68,6.8
163,6.799
166,6.799
169,6.8
173,6.8
174,6.9
182,7.197
213,7.196
216,7.196
260,6.8
267,6.9
281,6.9
287,7.194
288,7.194
295,7.195
297,7.1
300,6.8
302,6.701
423,6.771
441,6.771
460,6.771
462,7.094
a1492500180,6.8
15,6.799
40,6.711
41,6.7
45,6.849
50,6.55
51,6.55
54,6.7
105,6.609
125,6.51
135,6.599
141,6.65
142,6.7
174,6.651
188,6.73
290,6.798
323,6.65
341,6.797
383,6.43
386,6.648
394,6.39
396,6.641
416,6.51
454,6.518
461,6.517
463,6.648
a1492593360,6.5
31,6.21
33,6.549
35,6.5
36,6.449
140,6.48
141,6.42
144,6.45
250,6.598
342,6.501
a1492671900,6.7
6,6.559
31,6.39
33,6.698
39,6.45
53,6.519
69,6.491
284,6.413
365,6.6
461,6.698
463,6.75
478,6.7
486,6.706
487,6.706
489,6.706
496,6.699
500,6.72
502,6.81
505,6.811
a1492772040,6.6
24,6.6
83,6.501
136,6.729
a1493017680,6.729
3,7
41,6.999
63,6.849
70,7.2
76,7
79,7.399
97,6.801
125,6.891
126,6.901
171,6.6
175,6.499
177,6.599
319,6.78
320,6.78
323,6.63
382,6.398
a1493108700,6.499
5,6.6
25,6.501
42,6.48
45,6.699
116,6.48
119,6.48
241,6.4
297,6.5
387,6.5
a1493194020,6.3
88,6.3
a1493286120,6.31
143,6.545
168,6.35
306,6.279
a1493362980,6.32
154,6.3
206,6.3
a1493708700,6.2
382,6.5
383,6.68
385,6.76
"
