IBE1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491980700,6.689
43,6.746
51,6.736
93,6.719
106,6.722
164,6.735
173,6.722
345,6.727
370,6.719
a1492068540,6.705
82,6.721
101,6.717
117,6.699
182,6.689
406,6.669
450,6.681
a1492499100,6.712
57,6.668
78,6.658
103,6.666
211,6.65
404,6.635
436,6.65
466,6.647
471,6.646
489,6.665
504,6.665
a1492585500,6.637
3,6.625
123,6.622
135,6.613
149,6.604
158,6.599
159,6.595
247,6.598
301,6.6
347,6.583
a1492671900,6.561
2,6.55
58,6.6
104,6.609
154,6.606
160,6.602
167,6.596
449,6.5
a1492762560,6.463
27,6.445
31,6.445
114,6.445
a1493018160,6.658
52,6.682
54,6.691
55,6.676
61,6.687
90,6.685
243,6.654
455,6.678
a1493103900,6.705
19,6.685
182,6.648
429,6.624
a1493190300,6.567
17,6.574
34,6.588
111,6.564
325,6.551
390,6.53
410,6.51
435,6.535
462,6.53
a1493276700,6.495
48,6.536
75,6.538
119,6.581
160,6.606
285,6.6
286,6.6
391,6.61
a1493365740,6.56
135,6.579
142,6.558
405,6.61
a1493708700,6.582
167,6.631
314,6.64
374,6.663
424,6.671
454,6.656
475,6.683
"
