ILM1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491980580,9.1
24,8.94
48,9
236,9.219
289,9.249
a1492071900,9.249
226,9.289
300,9.25
350,9.3
a1492498980,9.19
19,9.1
41,9.09
49,9.1
a1492585620,8.99
34,9.1
37,9.101
41,9.1
94,9.1
109,9.051
159,9.099
191,9
203,9.1
255,8.96
271,9.1
346,9
431,9.1
462,9.1
473,9.144
a1492671780,9.001
4,9
23,8.91
24,8.91
27,9
28,9
49,9.149
65,9.151
70,9.001
75,9.25
99,9.349
135,9.35
153,9.1
208,9
264,9
282,9
295,9
322,9.398
323,9.299
a1492758180,9.388
5,9.24
73,9.498
81,9.498
86,9.241
114,9.638
228,9.498
255,9.55
334,9.5
340,9.35
343,9.44
347,9.499
352,9.59
362,9.401
385,9.469
386,9.47
425,9.599
445,9.421
453,9.278
485,9.45
504,9.39
a1493017320,9.6
5,9.599
30,9.6
130,9.7
223,9.85
230,9.87
297,9.939
319,9.92
395,9.82
441,9.82
468,9.82
494,9.82
496,9.83
a1493103780,9.8
22,9.83
27,9.979
36,9.978
46,9.881
48,9.977
84,9.977
118,9.93
156,9.901
158,9.851
172,9.851
a1493190180,9.985
3,9.984
65,9.979
69,9.979
129,9.985
144,10
160,10.095
166,10.11
200,10.14
230,10.025
245,10.15
302,10.19
356,10.19
363,10.15
365,10.105
367,10.05
371,10.02
372,10
374,10.05
376,10.095
377,10.09
378,10.1
379,10.05
384,10.005
385,10.005
395,10
443,10.125
a1493276580,10.145
139,10.15
175,10.1
176,10.1
185,10.1
194,10.1
277,10.1
415,10.1
480,10.145
486,10.19
493,10.225
497,10.045
501,10.045
504,10.045
a1493368800,10.145
20,10.145
42,10.05
78,10.145
79,10.15
165,10.25
174,10.15
180,10.15
192,10.15
219,10.15
a1493708580,10.15
1,10.15
13,10.15
42,10.25
84,10.25
102,10.1
137,10.21
138,10.15
170,10.15
171,10.28
208,10.15
210,10.15
371,10.115
461,10.115
503,10.16
"
