MSAG
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491986220,2.57
68,2.606
233,2.599
234,2.652
241,2.65
253,2.65
297,2.65
390,2.564
a1492071600,2.594
42,2.648
194,2.66
249,2.657
304,2.65
314,2.649
338,2.66
339,2.66
417,2.679
a1492498980,2.64
31,2.64
39,2.649
58,2.562
62,2.609
168,2.609
174,2.61
367,2.601
372,2.634
375,2.634
395,2.617
396,2.642
413,2.679
414,2.642
435,2.639
438,2.643
439,2.643
454,2.643
a1492590660,2.679
2,2.68
4,2.65
15,2.687
41,2.655
97,2.66
100,2.651
141,2.689
143,2.689
214,2.656
356,2.65
a1492671780,2.699
6,2.65
7,2.64
9,2.64
15,2.642
56,2.645
57,2.6
58,2.637
62,2.637
90,2.638
110,2.63
136,2.64
137,2.64
145,2.623
258,2.698
407,2.698
503,2.71
a1492758720,2.712
1,2.71
59,2.729
71,2.744
156,2.744
263,2.744
265,2.789
413,2.75
423,2.751
425,2.75
441,2.77
446,2.749
482,2.76
492,2.761
497,2.741
a1493017380,2.8
17,2.795
27,2.795
133,2.779
205,2.779
271,2.748
413,2.748
443,2.748
473,2.748
503,2.748
a1493110020,2.701
190,2.789
242,2.789
272,2.789
302,2.789
333,2.789
342,2.789
a1493195640,2.8
208,2.83
396,2.79
a1493276580,2.81
166,2.84
280,2.812
292,2.81
493,2.8
506,2.8
a1493375940,2.713
123,2.75
132,2.751
a1493708580,2.76
89,2.799
277,2.789
320,2.76
341,2.789
343,2.829
444,2.763
"
