SCL
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491982560,75.3
35,74.9
263,75.3
437,75.78
a1492086480,75.47
167,74.41
a1492504860,73.56
70,73
201,73.28
246,73.27
391,73.22
a1492589160,72.89
121,73.16
202,72.86
203,72.86
238,73.35
256,73.44
315,72.9
338,72.91
a1492676940,71.5
3,71.8
26,71.84
60,71.16
121,71.89
229,71.86
261,71.2
275,71.45
285,71.47
292,71.07
304,71.06
312,71.04
330,70.86
341,71.27
348,71.4
353,71.38
354,71.51
360,71.41
396,71.25
414,71
421,71.42
a1492758300,70.9
107,71.73
144,70.91
147,71.56
148,71.6
359,70.9
382,69.59
385,69
388,68.86
394,69.72
396,69.72
402,69.81
404,69.78
407,69.2
413,69.3
414,69.2
426,69
427,69.07
431,69.15
457,69.59
495,69.08
498,69.15
a1493017500,69.25
30,69.34
38,69.44
49,69.34
73,69.41
182,69.72
208,69.73
215,69.72
218,69.68
224,69.63
229,69.72
297,69.55
304,69.55
317,69.55
328,69.55
333,69.4
335,69.55
336,69.28
374,69.22
417,68.65
440,69
457,68.91
491,68.52
504,68.5
a1493103900,67.99
75,68.27
76,68.27
77,68.27
84,68.27
98,68.54
108,68.59
120,68.65
147,68.31
148,68.3
192,68.32
196,68.47
204,68.48
216,68.23
255,68.65
269,68.21
296,68.23
315,68.21
332,68.2
368,68.35
388,68.02
460,67.72
474,67.66
476,67.6
a1493190300,67.62
119,67.85
162,67.9
169,67.9
210,68.46
230,68.52
246,68.04
254,68.1
257,68.14
325,67.8
336,67.86
338,67.86
352,68.13
405,67.88
461,68.4
a1493278140,68.26
62,67.96
71,68
78,68.12
79,68.06
82,68.04
87,68
93,68.14
153,68.1
155,68.1
251,68
252,67.88
272,67.88
275,68.15
402,67.98
416,67.52
437,67.4
441,67.12
473,66.92
474,66.93
475,66.87
476,66.97
a1493363760,67.48
5,67.45
10,67.44
20,67.52
36,67.57
60,67.59
74,67.5
91,67.49
103,67.55
112,67.67
113,67.3
119,67.23
121,67.21
130,67.05
151,67.29
158,67.29
159,67.03
163,67.28
276,67.18
296,67.01
310,67.09
316,67.01
326,67.05
377,67
419,67.02
462,66.66
494,66.73
a1493708700,66.57
27,65.98
58,66.14
59,66.15
71,66.75
135,66.17
174,66.67
186,66.69
213,66.74
218,66.4
287,66.25
289,67.04
388,66.23
396,66.2
399,66.29
445,66.11
454,66
477,65.87
481,65.88
491,65.85
492,65.83
503,65.86
"
