SLT
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491980580,33.3
19,33.13
212,33.07
249,33.15
268,33.005
272,33.1
415,33.09
450,33.05
487,33.09
a1492066980,32.8
15,33.115
53,33.115
55,32.805
124,33.115
128,33.105
196,33.105
219,33.075
224,32.985
232,32.985
306,32.805
320,32.795
335,32.8
380,32.775
481,32.8
494,32.795
498,32.705
505,32.995
506,32.995
507,32.995
a1492498980,32.64
121,33.085
198,33
245,32.99
337,32.925
350,32.83
367,32.92
412,32.915
421,32.915
427,32.9
429,32.9
433,32.82
441,32.755
448,32.75
471,32.81
483,32.805
488,32.81
496,32.76
500,32.81
503,32.81
504,33
507,33.095
a1492585380,33
1,33.165
32,32.82
49,32.815
128,32.8
240,32.895
485,32.895
507,32.9
a1492671780,32.99
124,32.925
209,32.96
256,32.93
263,32.93
374,32.8
379,32.8
384,32.94
386,32.85
402,32.85
430,32.85
444,32.85
445,32.985
462,32.965
463,32.96
480,32.99
483,32.99
488,32.955
491,33.075
496,33.07
498,33.08
499,33.08
506,33.08
a1492758180,33.3
29,32.95
81,33
97,33.045
129,33.295
156,33.295
197,33.295
255,33.295
271,33.3
310,33.3
317,33.3
424,33.3
460,33.23
473,33.3
506,33.3
507,33.26
a1493017380,33.195
2,33.2
3,33.28
10,33.3
56,32.97
124,33.295
130,33.295
200,33.295
398,33.295
399,33.395
403,33.4
409,33.5
417,33.5
434,33.575
441,33.5
442,33.5
481,33.4
484,33.3
492,33.3
499,33.62
506,33.62
507,33.62
a1493113500,33.5
2,33.5
24,33.29
25,33.27
50,33.495
58,33.27
65,33.495
97,33.495
110,33.495
136,33.495
165,33.495
198,33.34
245,33.495
312,33.495
321,33.26
322,33.2
325,33.2
326,33.2
331,33.2
336,33.2
345,33.15
a1493190180,33.395
2,33.395
24,33.295
69,33.295
134,33.3
136,33.3
157,33.3
164,33.95
171,33.95
180,33.895
187,33.9
216,33.895
217,34
229,33.97
231,33.97
233,33.97
238,33.97
240,33.97
242,33.97
243,33.97
247,33.97
248,33.97
249,34.285
276,34.46
308,34.295
311,34.295
367,34.245
368,34.11
371,33.97
372,34.11
373,34.135
402,34.135
403,34.135
405,34.055
409,34.01
423,34.01
424,34.01
431,34.01
449,34.015
450,34.01
454,34
457,33.95
469,34.245
470,34.3
477,34.3
506,34.495
507,34.6
a1493276580,34.65
6,34.65
7,34.65
11,34.85
16,34.68
36,34.845
83,34.845
89,34.85
90,34.85
94,35.015
95,35.05
119,34.9
129,34.9
133,34.97
149,34.855
152,34.97
154,35.025
198,34.99
202,34.865
303,34.95
313,35
314,35.02
315,35.025
317,35
318,35.28
380,35.12
384,35.01
401,35
444,35.005
452,35.005
489,35.12
507,35.25
a1493362980,35.25
3,35.25
4,35.25
31,35.35
82,35.31
85,35.495
139,35.48
140,35.49
153,35.47
168,35.5
173,35.47
185,35.35
186,35.59
194,35.51
199,35.44
201,35.44
216,35.51
218,35.5
221,35.48
227,35.48
228,35.48
229,35.505
246,35.51
272,35.58
273,35.505
287,35.58
306,35.895
307,35.585
310,35.55
330,35.58
363,35.58
365,35.7
368,35.7
381,35.7
396,35.7
404,35.7
405,35.7
434,35.85
435,35.85
441,35.8
457,35.8
462,35.71
489,35.9
507,35.9
a1493708580,35.89
17,35.85
33,35.85
48,35.85
63,35.9
96,35.8
116,35.85
118,35.9
132,35.9
136,35.9
143,35.9
144,35.925
162,35.9
189,35.9
203,36
208,36
214,36
255,35.95
258,35.91
269,35.89
283,35.9
286,35.78
297,35.755
298,35.715
302,35.665
303,35.8
331,35.65
334,35.655
382,35.65
393,35.705
411,35.58
413,35.5
460,35.565
462,35.585
463,35.59
494,35.635
495,35.54
507,35.54
"
