SRT
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1492000260,79
35,79
70,78.99
80,78.02
86,78.99
138,79.64
a1492072860,78.1
42,79.44
110,78.84
114,78.8
117,78.85
152,78.85
159,78.85
172,79.5
204,79.5
336,79.5
345,79.5
383,79.5
401,79.01
a1492498860,81
17,79.9
194,79.94
380,79.78
a1492585620,78.12
150,78.8
193,78.88
299,78.87
422,78.89
429,79.57
462,79.4
490,78.61
497,78.61
a1492691160,78.11
42,79.08
133,78.89
137,79.09
176,79.3
178,79.09
a1492764300,79.24
12,79.24
14,79.24
35,79.29
126,79
138,78.48
211,78.99
215,79.29
222,79
235,78.58
288,79.25
351,78.04
370,78.6
a1493017260,79.31
4,79.31
39,79.49
40,79.5
45,79.5
48,79.31
51,79.5
72,79.5
95,79.99
96,80
109,80.5
150,80.49
197,80.49
203,80.5
209,80.5
211,80.5
212,80.49
243,80.66
279,80.25
283,80.6
299,80.52
373,79.7
385,80.18
428,80.53
436,80.45
439,80.79
442,80.8
453,80.77
454,80.78
463,80.87
479,81
492,81.5
493,81.5
504,81.42
a1493103660,80.5
1,80.99
35,79.44
43,80.84
102,80.9
184,80.89
208,79.94
238,79.94
251,79.78
263,79.7
338,79.7
458,79.18
461,79.99
492,79
a1493191140,78.05
156,79.98
259,79.5
a1493276460,78.31
149,79.99
197,79.99
247,79.99
377,78.55
394,80
398,80
410,79.99
450,78.64
459,79.49
468,79.97
469,79.46
493,79.98
496,79.98
498,79.51
499,79.5
503,80
506,80
a1493368260,81.31
19,79.51
26,79.51
41,79.15
293,81.12
318,81.04
385,81.14
410,81.1
418,81.21
a1493708460,80.75
1,80.7
2,80.69
70,80.93
75,80
96,80.87
132,80.05
160,79.87
177,80.8
187,80.87
211,80.51
224,81.38
227,80.75
235,81.39
293,80.99
307,80.99
310,80.99
360,81.49
369,81.49
384,81.88
385,81.95
386,82
387,82
388,82.9
392,81.54
396,81.5
398,82.03
409,82.25
410,82.87
418,82.95
423,82.95
433,82.96
434,82.9
435,83
474,82.85
478,82.82
479,82.8
480,82.75
484,82.7
508,83.5
"
