SSU
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491980700,866
57,866.35
60,866.5
65,867
70,866.95
71,868
86,867.4
90,867.4
94,867.3
97,867.3
115,868.45
118,867
137,868.95
158,869.3
161,869.6
162,869.5
205,868
206,869
223,868.55
316,869
327,869.75
409,869.5
425,868.15
428,869.95
429,869.6
456,874.95
473,867.85
a1492067100,878.2
4,877.6
5,878.05
6,878.05
15,878.4
16,878
18,877.85
25,878.65
53,880
140,878.3
152,878.15
155,878.15
163,878.55
177,878.5
182,878.6
236,877.45
247,878
272,877.4
278,878.25
279,878.2
292,878.55
313,879.45
315,880
357,880.65
358,880.2
359,880.65
360,879.95
362,879.5
364,879.4
368,879.1
369,878.55
370,879.1
371,878.55
372,878.5
397,878.75
405,878.7
407,879.15
409,879.5
417,877.75
419,879.05
435,880.15
453,889.95
468,879.6
483,882.8
489,879.15
490,882.85
a1492499220,853.6
1,851.15
21,854.3
26,853.25
29,852.6
32,852
44,852.45
50,850.45
56,850.4
77,851
89,850.3
90,850.25
94,849.25
107,849.75
108,849.75
116,849.3
133,849.25
134,849.25
149,846.7
157,846
174,846.6
236,846.9
257,847
262,847.85
264,847.8
269,849.6
285,846.3
338,845.2
357,844.25
389,847
398,848.95
425,847.55
426,847.6
434,846.5
437,847
a1492585500,837.35
1,837.65
3,837.05
4,836.95
9,837.2
18,837.5
23,837.3
24,838.2
27,837.5
28,837.2
36,837
37,836.85
47,836.95
69,837.85
78,838.15
79,837.9
154,840
186,839
196,839.85
207,839.8
214,839.75
215,839.25
217,839.25
236,839.25
274,839.25
298,841
340,838.85
394,842
395,842
431,841.75
472,839.85
492,839.5
a1492671900,826.3
5,826.1
7,826.9
21,826.95
30,826.65
33,827.6
40,826.75
46,826.05
53,825.75
83,824.25
86,825.4
105,824.65
139,823.55
176,825.45
177,825.4
178,826.65
180,825.95
247,828.9
286,828.85
289,828.6
304,828.9
338,828.9
340,828.4
341,828.4
367,828.85
391,826.3
393,827.15
394,827.15
412,825.6
415,826.8
416,826.9
417,826.9
418,826.9
429,826.45
430,826.55
436,824.4
444,825.1
453,821.1
457,823.4
458,823.4
462,824.6
463,824.6
473,822.75
491,824
a1492758300,838.65
4,838.8
5,838.8
15,838.6
16,838.65
17,838.7
22,837.05
23,838.35
73,839.05
77,840
84,839.75
88,840
128,837.7
130,836.6
184,837.6
188,838.25
215,838.45
223,837.15
263,839.35
291,838.55
297,838.6
314,837.9
321,837.75
338,838.55
369,837.9
408,837.55
435,836.95
436,836.85
439,837.65
462,835.75
478,835.7
488,835.05
492,835.75
a1493017500,828.9
3,831.1
4,837
6,838.65
12,838.35
15,838.25
16,836.7
21,837
25,834.55
82,835.75
96,837.35
97,837.15
98,836
99,837.45
100,836.65
109,837.65
132,838.2
133,836.85
134,837.9
135,837.1
136,836.6
138,837.65
139,839.25
177,840.45
192,840.45
193,840.6
194,840.3
203,840.35
281,840.45
289,840.9
297,840.8
316,841
357,839.35
358,838.95
426,839.6
427,839.55
430,839.75
434,839.75
435,839.75
444,839.5
445,839.5
497,839.25
a1493104020,864.3
1,865.35
2,864.35
3,865.45
4,863.65
12,863.75
16,862.2
17,862.1
75,862.5
79,863.5
82,861.5
124,860.85
134,861.2
135,861.2
157,862.3
168,862.65
183,860.95
184,862.65
185,860.9
240,861.7
241,862.7
257,864.95
288,863.95
291,863.75
344,862.05
361,865
362,865
363,865
365,865
366,865
369,865
375,865
376,865
379,865
382,865
395,865
398,865
399,865
407,865
412,862.65
413,865
415,865
419,865
a1493190300,864.75
4,863.05
5,864.95
6,864.05
7,865.25
8,865.3
9,864.9
31,864.15
37,863.8
47,863.55
68,862.85
89,862.95
110,862.9
116,863.15
137,862.65
139,862.5
270,860.95
274,860.6
290,859.4
358,860.1
388,859.9
389,861
390,859.5
407,857.8
411,857.8
412,857
444,859.1
446,860
451,860
452,859.5
454,860
468,856.95
486,864.15
a1493276820,883.75
1,883.75
2,884.35
3,884.5
4,885.3
6,885.85
7,884.75
8,885.75
39,885.35
55,885
82,883.7
83,884.9
91,883.35
128,885
187,885.25
280,885.1
281,884
282,885.45
283,884.3
285,885.5
332,880.5
333,881.1
334,881.1
342,881.8
344,882.85
359,886
367,886
390,885.65
391,886.25
398,885.75
399,884.35
405,884.3
413,886.6
435,885.4
440,884.85
a1493363100,898.2
25,900.2
30,899.5
36,899.05
42,899.2
45,899.55
49,899.55
50,899.55
51,899.55
53,899.55
54,899.55
56,899.55
63,900
74,898.1
86,898.85
87,898
95,898
96,897.95
113,896.7
126,893.85
127,894.5
129,895.5
185,895.5
207,895.5
314,895.5
333,898.8
389,899.45
391,899.55
414,899.25
420,898.4
421,897.85
422,897.7
423,898.8
427,899.45
429,899.55
430,899.55
505,892.6
a1493708820,913.9
4,915
5,914.7
7,916.6
8,916.15
11,917.9
23,913.8
39,916.95
48,915.7
54,916.35
57,916.95
58,915.95
60,916.8
62,915
66,915.5
79,916.25
82,915.15
87,914.85
88,912.7
108,913.6
115,911.85
127,912.9
151,908.55
152,908.55
181,911.4
227,910.65
261,912.4
278,912
279,912
288,912.65
290,909.3
329,911.4
344,911.4
354,911.3
383,908.1
443,909.85
453,911.95
460,911.95
465,912
480,912
"
