UBK
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491980580,58.79
86,58.12
107,58.79
160,58.17
308,58.29
333,58.28
375,58.21
397,58.99
a1492066980,59
9,58.99
13,59
25,58.46
33,58.58
55,58.51
63,58.5
140,58.5
288,58.14
396,58.17
399,58.97
448,58.99
a1492498980,58.15
23,58.16
27,58.99
56,58.16
77,58.28
342,58.85
a1492585380,57.52
42,58
44,58.59
77,58.58
83,57.79
93,58.93
103,57.63
117,58.73
484,58.58
a1492671780,58.18
230,58.69
231,58.67
232,58.7
375,58.98
386,59.5
445,59.48
a1492758180,59.89
35,59.88
99,58.93
101,59.89
102,59.9
111,59.1
113,58.18
116,58.51
147,58.99
395,58.5
496,59
499,58.18
501,58.07
502,57.89
a1493017380,58
2,60
25,59.33
35,60.05
64,59.1
77,60
79,60.43
181,59.2
192,59.21
259,59.75
298,59.91
347,59.3
397,59.93
a1493106360,59.85
2,59.85
71,59.55
99,59.98
166,60.48
219,59.02
261,60.38
322,60.38
a1493190180,60.49
52,59.12
90,60.01
97,60.49
290,60.01
305,60.49
348,60.01
377,60.5
468,60.5
481,61.04
a1493276580,62
30,62.01
58,62
82,62.23
101,62.23
192,62.25
215,62.25
287,62.25
293,62
376,62
400,61
440,61.96
a1493362980,61.01
10,62.24
124,62.14
141,62.14
146,62.14
214,62.14
315,62.14
352,62.15
373,62.2
382,62.2
a1493708580,62.8
8,62.8
160,62.02
161,62.3
198,61.5
228,61.89
338,61.25
421,61.85
480,61.8
"
