TSE1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484553900,2.349
31,2.339
67,2.34
69,2.34
101,2.344
113,2.316
115,2.34
117,2.34
123,2.317
208,2.34
250,2.338
270,2.338
283,2.332
316,2.338
388,2.337
395,2.33
437,2.337
441,2.337
501,2.336
a1484641020,2.35
13,2.345
15,2.33
24,2.344
68,2.34
163,2.349
241,2.339
291,2.34
306,2.34
315,2.34
316,2.34
385,2.33
419,2.326
427,2.34
443,2.345
462,2.348
467,2.349
469,2.349
470,2.349
471,2.349
472,2.35
a1484726700,2.41
20,2.39
28,2.39
32,2.362
104,2.381
195,2.388
354,2.377
384,2.38
389,2.379
404,2.38
489,2.38
a1484813280,2.086
1,2.09
3,2.098
17,2.099
21,2.091
24,2.102
28,2.1
44,2.108
61,2.118
69,2.119
77,2.124
80,2.118
82,2.118
85,2.122
87,2.119
89,2.111
97,2.114
99,2.113
104,2.109
110,2.1
113,2.092
115,2.106
119,2.103
120,2.103
121,2.093
126,2.086
127,2.093
129,2.076
130,2.075
131,2.07
132,2.064
136,2.05
141,2.059
150,2.05
152,2.035
153,2.049
163,2.049
175,2.045
177,2.058
180,2.045
186,2.048
195,2.049
204,2.04
213,2.036
233,2.049
239,2.049
240,2.049
244,2.049
247,2.05
257,2.05
264,2.05
266,2.055
269,2.055
272,2.055
278,2.051
283,2.059
285,2.052
288,2.05
309,2.05
336,2.05
340,2.05
341,2.05
342,2.05
365,2.054
366,2.058
371,2.05
382,2.049
409,2.045
411,2.04
412,2.04
415,2.045
419,2.045
434,2.026
440,2.045
464,2.045
465,2.045
470,2.05
485,2.05
488,2.05
502,2.06
a1484899500,2.04
34,2.044
36,2.044
45,2.044
51,2.04
81,2.043
94,2.043
109,2.044
133,2.044
158,2.044
161,2.035
162,2.044
171,2.044
193,2.044
208,2.049
219,2.045
275,2.05
374,2.049
376,2.05
386,2.049
412,2.052
413,2.052
431,2.052
502,2.043
a1485158820,2.185
5,2.199
27,2.193
28,2.193
31,2.192
36,2.154
79,2.175
91,2.19
115,2.2
116,2.2
120,2.18
121,2.18
123,2.161
147,2.189
174,2.185
176,2.199
179,2.197
192,2.199
247,2.199
325,2.199
413,2.176
414,2.176
415,2.175
416,2.175
432,2.171
436,2.18
437,2.184
441,2.185
452,2.185
455,2.184
474,2.184
502,2.18
a1485245220,2.151
29,2.15
88,2.134
159,2.115
186,2.128
202,2.127
231,2.12
233,2.125
251,2.125
252,2.125
254,2.125
309,2.125
344,2.125
345,2.125
346,2.125
a1485331500,2.119
52,2.12
55,2.115
59,2.115
81,2.115
205,2.119
207,2.119
272,2.12
302,2.12
a1485417960,2.16
61,2.159
123,2.149
166,2.144
171,2.144
214,2.121
338,2.142
360,2.144
366,2.145
367,2.145
408,2.17
419,2.15
503,2.159
a1485506340,2.135
205,2.13
219,2.139
348,2.139
365,2.139
a1485763500,2.06
8,2.06
71,2.065
188,2.051
201,2.051
212,2.051
233,2.06
245,2.051
249,2.06
253,2.06
318,2.06
328,2.06
406,2.06
423,2.05
434,2.05
504,2.053
a1485849900,2
29,2.029
87,2.019
115,2.019
137,2.018
156,2.001
175,2.001
272,2.016
351,2.005
380,2.005
381,2
383,2.01
401,2.003
402,2.003
403,2.01
431,1.994
449,2.03
452,1.994
474,1.99
480,1.986
491,1.952
495,1.992
a1485936300,1.971
11,1.999
14,2
17,1.972
47,1.999
52,1.992
183,2.043
335,2.029
482,2.019
a1486022700,2.02
11,2
133,2.017
200,1.99
227,1.981
419,1.998
420,1.998
497,1.994
501,1.981
a1486109100,1.983
27,1.98
49,1.98
140,1.98
211,1.98
239,1.985
353,1.985
418,1.984
"
