BSD2
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1497423900,6.06
17,6.09
39,6.082
96,6.1
105,6.103
134,6.083
136,6.095
141,6.091
155,6.09
173,6.08
177,6.089
195,6.073
201,6.086
225,6.079
327,6.07
328,6.06
330,6.051
333,6.048
342,6.061
359,6.036
385,6
388,5.984
392,5.978
407,5.98
419,5.974
420,5.97
450,5.97
471,5.95
473,5.936
478,5.936
479,5.93
501,5.933
505,5.937
a1497511680,5.855
6,5.844
7,5.843
17,5.865
20,5.87
40,5.873
71,5.85
110,5.857
155,5.859
166,5.834
314,5.815
339,5.824
348,5.83
374,5.859
375,5.854
377,5.846
382,5.825
397,5.867
440,5.871
441,5.854
473,5.882
481,5.879
482,5.895
a1497596700,5.939
2,5.93
21,5.91
52,5.908
77,5.938
84,5.931
91,5.93
96,5.939
97,5.95
100,5.952
108,5.958
127,5.94
155,5.898
168,5.835
171,5.82
172,5.82
284,5.854
315,5.85
353,5.83
377,5.853
398,5.833
473,5.858
491,5.863
504,5.856
505,5.863
a1497855900,5.943
4,5.946
6,5.957
44,5.919
48,5.92
52,5.918
107,5.928
133,5.911
138,5.911
142,5.917
163,5.898
176,5.907
219,5.918
221,5.92
235,5.926
255,5.933
302,5.932
351,5.947
357,5.932
364,5.94
377,5.947
400,5.954
411,5.946
412,5.942
442,5.947
463,5.949
464,5.942
466,5.951
476,5.949
479,5.94
483,5.94
484,5.948
485,5.947
501,5.946
502,5.942
503,5.952
504,5.942
505,5.94
a1497942300,5.961
9,5.94
24,5.942
50,5.91
61,5.933
96,5.912
97,5.912
101,5.908
126,5.903
136,5.901
173,5.9
272,5.863
314,5.844
317,5.849
326,5.842
381,5.88
385,5.871
410,5.86
500,5.841
501,5.84
503,5.832
505,5.828
a1498028760,5.79
32,5.752
55,5.757
96,5.802
105,5.805
174,5.776
212,5.784
218,5.799
229,5.805
230,5.805
319,5.84
402,5.834
409,5.854
433,5.848
459,5.88
460,5.88
466,5.88
480,5.861
493,5.841
504,5.851
a1498115100,5.8
3,5.8
8,5.808
12,5.814
38,5.797
56,5.775
80,5.78
99,5.78
116,5.778
123,5.786
131,5.795
132,5.8
133,5.8
146,5.785
150,5.799
163,5.806
171,5.81
198,5.83
253,5.807
257,5.818
272,5.813
285,5.824
315,5.83
333,5.847
349,5.837
354,5.818
377,5.828
378,5.828
390,5.83
421,5.809
459,5.828
467,5.858
474,5.859
504,5.863
505,5.877
a1498201500,5.865
1,5.87
147,5.809
156,5.823
194,5.8
247,5.798
291,5.805
322,5.79
338,5.792
342,5.792
385,5.79
413,5.77
439,5.769
462,5.802
476,5.787
494,5.78
505,5.773
a1498460700,5.836
3,5.86
6,5.861
25,5.85
54,5.838
63,5.832
96,5.865
163,5.849
214,5.86
262,5.871
354,5.87
420,5.9
441,5.9
492,5.843
493,5.842
504,5.841
a1498547100,5.844
19,5.862
25,5.854
26,5.864
66,5.81
71,5.835
89,5.853
93,5.862
98,5.874
169,5.872
183,5.899
184,5.9
205,5.889
221,5.888
242,5.856
256,5.849
268,5.852
269,5.856
277,5.88
341,5.872
359,5.887
361,5.878
388,5.87
398,5.855
399,5.836
411,5.855
455,5.875
456,5.875
465,5.871
474,5.872
484,5.887
485,5.89
a1498633500,5.86
3,5.838
5,5.825
15,5.822
40,5.818
130,5.834
140,5.84
143,5.846
151,5.846
172,5.866
265,5.867
268,5.862
278,5.869
279,5.867
296,5.894
300,5.885
313,5.876
333,5.9
334,5.9
416,5.932
417,5.934
440,5.954
452,5.95
479,5.975
501,5.999
504,5.998
a1498720740,6.075
6,6.08
34,6.014
48,6.044
69,6.04
76,6.028
91,6.04
99,6.063
111,6.062
130,6.063
184,6.036
192,6.06
264,6.055
268,6.069
334,6.034
366,6.064
374,6.049
378,6.026
379,6.026
386,5.965
398,6
411,5.966
452,5.99
456,5.99
468,5.94
481,5.924
482,5.92
486,5.917
a1498806300,5.924
1,5.895
29,5.895
44,5.903
50,5.889
58,5.883
91,5.866
102,5.866
122,5.881
163,5.879
165,5.859
179,5.866
181,5.875
195,5.881
257,5.865
297,5.874
346,5.854
361,5.86
383,5.87
389,5.867
390,5.871
391,5.855
395,5.87
408,5.884
415,5.861
438,5.826
456,5.81
467,5.81
494,5.8
495,5.79
497,5.8
a1499065500,5.849
21,5.853
34,5.847
62,5.879
93,5.893
112,5.9
113,5.881
270,5.9
279,5.9
319,5.904
358,5.936
386,5.955
404,5.941
415,5.958
472,5.998
477,5.997
482,5.978
486,5.974
a1499151900,5.932
2,5.946
13,5.939
19,5.941
40,5.955
50,5.959
58,5.979
73,5.965
84,5.964
148,5.989
150,5.99
169,5.983
307,5.982
321,5.967
354,5.973
355,5.975
390,5.982
408,6.006
411,6.007
421,6.013
439,6.008
463,5.997
"
