DLX
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1497425700,5.73
28,5.687
282,5.73
307,5.7
328,5.729
332,5.729
422,5.606
427,5.764
a1497510180,5.904
14,6.099
239,5.943
366,5.994
412,6.05
458,6.05
a1497597900,6.05
35,6.12
49,6.002
120,6.104
166,6.001
233,6.152
234,6.249
235,6.25
258,6.34
262,6.48
263,6.418
271,6.418
275,6.49
278,6.49
329,6.649
334,6.489
336,6.48
365,6.368
370,6.368
471,6.449
a1497855780,6.45
1,6.449
45,6.442
91,6.5
113,6.5
261,6.576
263,6.5
265,6.411
282,6.49
284,6.459
291,6.46
343,6.58
365,6.506
a1497942300,6.698
42,6.749
47,6.749
195,6.65
248,6.551
266,6.526
267,6.501
271,6.52
299,6.353
308,6.39
313,6.519
503,6.501
a1498028580,6.52
2,6.52
47,6.521
255,6.6
291,6.6
393,6.78
451,6.711
a1498115280,6.7
69,6.603
250,6.7
398,6.8
a1498201380,6.8
40,6.799
99,6.849
132,6.849
133,6.9
135,7
136,7.2
138,7.24
141,7.051
142,7.05
144,6.88
148,6.8
278,6.8
307,6.8
385,6.8
487,6.78
504,6.8
a1498460580,6.892
1,6.914
2,6.998
3,6.998
21,6.948
43,6.94
314,6.886
321,6.919
322,6.988
373,6.989
375,7.02
409,6.935
a1498550340,7.019
13,6.83
42,6.83
133,6.949
284,6.945
371,6.929
a1498634580,6.967
404,6.899
a1498719780,6.9
51,6.999
138,6.99
483,6.9
484,6.94
a1498816620,6.939
113,6.939
182,6.712
202,6.845
227,6.711
247,6.71
276,6.66
310,6.801
321,6.9
328,6.905
a1499067000,6.8
271,6.721
272,6.7
363,6.75
394,6.75
463,6.522
472,6.589
a1499151840,6.7
143,6.489
147,6.49
153,6.431
213,6.352
352,6.469
"
