EBA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1497423900,30.935
387,30.65
409,30.63
427,30.635
a1497510300,30.7
184,30.805
226,30.85
335,30.935
392,30.53
a1497619200,30.6
18,30.445
39,30.6
40,30.6
50,30.6
69,30.455
115,30.445
116,30.445
a1497855900,30.59
60,30.42
81,30.215
138,30.22
226,30.37
260,30.095
303,30.365
327,30.39
439,31.005
a1497942420,31.56
102,31.3
138,31.3
151,31.215
184,31.315
394,31.445
402,31.5
a1498029300,31.26
115,31.245
337,31.08
374,31.58
a1498225080,31.305
a1498460820,32.07
4,32.065
26,31.9
68,31.74
151,31.765
209,31.795
247,31.97
304,31.985
377,31.87
487,31.38
a1498547340,31.465
51,31.015
a1498633620,30.49
24,30.68
65,30.665
302,30.75
474,30.68
a1498720380,30.765
417,30.4
478,30.195
484,30.13
a1498812180,30.33
a1499065500,30.74
355,30.75
392,31.04
484,30.75
a1499160240,30.365
"
