O3P
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1497424260,39.5
255,39.795
270,39.8
271,39.8
321,39.795
472,39.57
477,39.63
a1497516600,39.26
88,39.265
a1497598380,39.95
6,40
38,40.045
94,39.92
158,40.04
160,40.04
161,40.04
165,40.015
181,40.06
194,40.06
200,40.08
220,40.2
253,40.395
a1497855900,40.11
1,40.01
32,40.3
72,40.22
117,40.045
280,40.145
a1497943560,40.055
255,39.625
395,39.605
459,39.465
a1498029540,39.1
11,38.8
28,38.93
76,38.99
113,39.175
176,38.88
180,38.84
192,38.8
204,38.795
a1498115100,38.9
20,38.9
47,38.945
100,38.705
112,38.5
119,38.48
494,38.625
496,38.6
a1498202640,38.495
16,38.195
148,38.115
177,38.005
268,37.985
329,38.05
450,37.965
470,38.05
472,38.065
475,38.09
a1498460700,38.245
3,38.575
110,38.4
176,38.815
492,38.82
a1498547220,38.715
59,38.5
68,38.5
a1498636440,37.5
4,37.53
8,37.56
39,37.55
57,37.635
62,37.645
111,37.53
367,37.66
a1498720080,37.83
1,37.88
26,37.43
479,37.5
480,37.5
a1498834560,38.095
a1499065500,38.055
149,38
233,37.895
262,37.87
383,38.3
388,38.29
"
