SIS
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1497432060,12.155
2,12.33
29,12.195
48,12.3
79,12.305
96,12.425
108,12.22
148,12.275
162,12.28
235,12.205
290,12.33
291,12.355
292,12.35
293,12.215
296,12.215
324,12.21
327,12.22
342,12.205
356,12.21
366,12.21
a1497510180,12.2
11,12.365
154,12.315
180,12.375
182,12.335
203,12.335
230,12.25
255,12.3
292,12.345
315,12.3
341,12.345
362,12.34
376,12.34
443,12.235
a1497604740,12.15
72,12.16
137,12.195
140,12.1
183,12.07
192,12.11
244,12.145
294,12.1
302,12.11
303,12.1
307,12.21
322,12.08
370,12.26
371,12.2
a1497856320,12.145
66,12.17
171,12.21
198,12.085
396,12.02
402,12.02
438,11.98
447,11.855
448,11.8
a1497946140,11.8
1,11.82
34,11.7
47,11.7
54,11.68
58,11.695
63,11.695
76,11.695
124,11.69
153,11.69
237,11.695
286,11.68
381,11.625
415,11.625
416,11.65
441,11.585
a1498028580,11.74
111,11.645
124,11.61
186,11.57
197,11.61
206,11.655
207,11.7
208,11.805
209,11.805
210,11.755
212,11.7
213,11.7
214,11.7
217,11.7
224,11.74
229,11.815
230,11.75
231,11.75
246,11.77
248,11.805
259,11.845
261,11.805
262,11.75
263,11.795
265,11.795
266,11.8
267,11.865
278,11.845
307,11.84
309,11.9
312,11.86
313,11.86
318,11.8
349,11.75
357,11.8
358,11.8
359,11.8
379,11.76
392,11.755
419,11.86
420,11.86
421,11.86
425,11.92
427,12
433,11.95
439,11.89
444,12.065
448,12.07
450,12.07
465,12.2
502,12.295
507,12.315
a1498114980,12.12
22,12.38
25,12.31
55,12.38
75,12.385
90,12.415
103,12.45
104,12.5
107,12.495
113,12.635
122,12.69
123,12.715
127,12.62
141,12.6
145,12.62
148,12.64
150,12.64
186,12.595
245,12.55
258,12.5
259,12.5
326,12.4
480,12.235
507,12.355
a1498201740,12.535
51,12.38
94,12.37
96,12.57
111,12.57
114,12.565
115,12.59
126,12.85
127,13
128,13
131,13.215
144,13.1
148,13.095
156,13.125
167,13.175
172,13.005
176,13.19
191,13.215
216,13.055
226,12.995
228,13
238,12.995
286,12.995
337,12.975
341,12.885
353,12.86
378,12.86
393,12.975
410,12.95
440,12.97
481,12.97
501,12.975
a1498460580,12.8
29,12.935
47,12.885
67,12.865
73,12.815
75,12.865
127,12.865
131,12.86
133,12.86
186,12.815
316,12.82
353,12.825
402,12.88
447,12.9
448,12.84
458,12.88
460,12.9
470,12.8
479,12.8
492,12.895
504,12.89
507,12.91
a1498546980,12.99
15,12.99
22,12.98
27,12.885
28,12.885
43,12.96
60,13.05
67,13.045
70,13.085
92,13.235
112,13.235
120,13.235
212,13.235
213,13.245
232,13.28
330,13.23
341,13.195
347,13.185
372,13.185
383,13.19
399,13.135
400,13.13
425,13.195
437,13.13
444,13.13
445,13.165
453,13.11
459,13.11
477,13.09
490,13.15
504,13.11
507,13.11
a1498637760,13.055
1,13.005
6,12.995
27,12.96
29,13.01
41,12.93
44,12.925
46,12.91
49,12.875
67,12.875
83,12.8
92,12.905
93,12.925
118,12.905
156,12.935
232,12.92
246,12.94
249,12.935
310,12.945
354,12.99
409,12.95
415,13
425,12.87
429,12.9
434,12.855
a1498719780,13
3,13.05
9,13.05
23,13.055
33,13.09
99,13.05
165,13.055
214,13.05
304,13.12
318,13.05
330,13.05
346,12.94
390,12.805
391,12.85
400,12.85
403,12.85
407,12.85
490,12.75
491,12.735
501,12.63
507,12.65
a1498806240,12.73
8,12.705
11,12.7
27,12.64
34,12.65
54,12.7
87,12.81
95,12.83
119,12.85
144,12.81
161,12.915
173,12.91
178,12.925
179,12.995
229,12.855
247,12.88
267,12.88
279,12.875
309,12.885
310,12.81
401,12.75
480,12.85
486,12.89
487,13.03
489,13.08
495,13.18
496,13.165
500,13.015
501,13.145
502,13.22
506,13.15
a1499065380,13.25
2,13.245
4,13.24
6,13.25
7,13.25
21,13.4
37,13.295
61,13.25
75,13.4
78,13.38
87,13.295
88,13.31
101,13.275
111,13.22
117,13.26
123,13.335
129,13.345
134,13.315
138,13.29
145,13.295
187,13.245
188,13.25
205,13.245
210,13.21
233,13.225
234,13.25
297,13.25
317,13.21
323,13.23
341,13.21
371,13.2
401,13.165
413,13.205
418,13.12
495,13.07
500,13.07
504,13.07
507,13.12
a1499151780,13.15
4,13.085
5,13.03
9,12.965
21,12.98
65,13
75,12.9
103,12.975
129,12.95
131,12.9
133,12.9
150,12.87
151,12.85
228,12.81
229,12.88
266,12.755
287,12.75
327,12.755
347,12.915
351,12.915
399,12.765
421,12.85
428,12.89
449,12.765
477,12.71
507,12.795
"
