SSUN
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1497423900,728.45
50,727
55,727
59,727
60,727
61,727
62,727
111,728
123,728.15
128,728.05
144,731.15
157,730.7
172,731.1
181,728.15
198,730.8
294,729.3
302,728.65
309,728.6
326,728.55
332,729.5
333,724.85
334,729.15
336,727.05
342,729.75
353,732.35
381,729.3
452,730.6
454,733
456,734.75
457,731.05
458,730.5
459,731.8
460,731.15
463,730.7
480,730.9
a1497510300,729.4
63,725.95
74,727.15
144,721
187,723.8
206,721
241,721
309,721
328,722
372,722
397,722
401,721
402,720
404,720
429,720.4
441,722.75
459,722.5
470,721.25
476,721.9
492,722.15
a1497596700,730.4
76,731.25
78,731.45
98,731.7
110,731.55
122,732.15
140,733
203,731.45
225,727.8
288,730.5
346,729
356,729
377,729
391,729
419,727
431,727.85
445,726.45
a1497856140,735
51,734.9
63,734.5
72,734.5
80,734.9
81,735.6
93,735.6
127,734.35
227,732.05
249,731.4
260,731.9
294,732.6
331,735.2
401,735.6
410,735.6
439,734.25
462,736.9
463,736.9
484,735.7
486,736.35
491,736.1
a1497942300,751.4
2,751.3
3,751.3
17,752.75
18,753.55
28,751.35
30,750
33,751.5
34,750.65
37,750.5
42,749.4
43,750
137,751.9
150,751.9
175,750
178,749.5
208,749
221,749.5
271,748.5
321,750.95
357,748
358,748
405,745.6
407,748.9
417,748.5
418,748.5
419,748.5
422,747.9
438,747.9
468,748.3
473,749
498,749.05
a1498028700,746.4
76,746.85
78,748.2
86,746.5
111,745.7
133,745.15
138,747.5
140,747.5
180,746
190,745.05
202,747.55
272,749.15
282,751.45
318,750
326,750
329,750.3
330,750
370,750
375,750
388,747.25
390,747.5
408,746.8
420,746.85
456,746.8
491,747.4
495,746.55
496,744.15
505,747.45
a1498115100,743.5
23,740.7
89,742.8
90,742.4
93,742
99,741.5
108,741.25
116,741.5
145,742.4
150,741.8
173,743.25
174,744
176,744.25
186,744
240,743.35
242,743.35
361,743.35
366,744.5
377,745.5
391,744.8
393,744.8
398,744.85
410,743.85
411,743.85
412,743.5
454,742.1
480,743.05
484,746.55
a1498201500,743.75
16,745
44,744.4
61,743.6
69,744.7
110,745.85
116,744.95
123,745.5
128,745.15
153,745.45
154,745.85
164,745.15
169,745.15
211,744.05
212,744.05
215,744
276,744
290,744
297,744
298,744.05
300,744.05
301,744.05
304,743.65
316,742.6
346,744.8
387,744.95
427,744.45
430,744.45
443,744.45
460,740.65
485,745.75
"
