SVE
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1497423780,116.35
113,116.65
164,116.65
171,116.75
488,116.95
495,117
a1497510180,117
72,117.5
a1497600000,116.1
a1497855780,118
87,117.55
428,118.35
472,118.4
a1497945060,118.5
79,118.5
190,118.5
267,117.5
a1498034580,118
8,118.2
191,118.45
a1498127880,118.5
a1498210920,118.5
a1498474080,118.5
91,117.4
128,118.45
275,118.45
a1498547040,118.5
48,118.45
186,118.4
295,118.05
400,117.25
401,117
406,116.7
407,116.5
468,116.45
469,116.45
a1498633440,116.5
21,116.5
29,115.5
215,115.55
382,118.7
384,115.85
385,117
a1498726020,117.95
235,118.35
a1498818000,119.2
a1499094060,117
a1499157360,119.45
260,119.5
264,119.5
283,119.5
294,119.7
296,119.95
"
