B8A
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1486973280,63.49
a1487060400,63.52
106,62.55
423,64.28
435,64.28
445,64.28
a1487147040,63.34
7,64.2
82,64.87
451,64.5
a1487336040,64.5
78,62.89
124,64.49
a1487578620,64.49
a1487750760,64.44
109,64.44
310,64.43
a1487853840,64.44
93,64.39
a1488194760,64.37
1,64.37
91,64.37
131,63.99
193,63.01
a1488269040,63.98
150,63.32
407,64.04
a1488356760,64.04
49,64.25
119,63.5
324,63.32
"
