CVC1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1486973100,53.5
4,53.5
150,53.58
289,53.02
319,53.23
386,53.35
393,53.35
478,53.3
a1487076300,53.33
184,53.5
a1487166900,53.25
117,53.37
124,53.26
a1487232300,53.78
408,53
a1487318700,53.2
342,52.92
474,52.28
a1487683500,53.32
27,53.32
160,53.02
a1487761440,51.9
1,51.9
249,52.25
288,52.25
a1487837100,53.01
8,53.02
a1488182700,53.85
182,53
183,52.52
262,53.08
397,52.86
498,52.86
a1488269100,53.6
206,53.35
386,53
387,53
474,53
482,53.13
a1488364920,53.5
331,53.63
a1488464340,54.07
a1488548460,53.3
5,53.29
21,53.29
24,53.34
"
