E4C
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1486994940,8.201
a1487072640,8.342
a1487233380,8.183
310,8.2
409,8.19
a1487577780,8.346
133,8.034
164,8.034
218,8.14
233,8.14
336,8.14
344,8.14
367,8.206
382,8.16
406,8.14
412,8.14
498,8.139
a1487671440,8.01
339,8.189
341,8.189
a1487765100,8.199
15,7.95
122,8.033
a1487851200,8.167
6,8.209
55,8.168
239,8.16
a1487925660,8.04
a1488189060,8.033
281,8.119
389,7.99
a1488280560,7.96
307,7.971
a1488357360,8.035
8,7.961
29,8.07
71,8.129
98,8.129
104,8.129
128,8.13
223,8.13
232,8.13
a1488441780,8.05
61,8.05
475,8.074
a1488538440,8.1
4,8.15
"
