DPWA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=3600
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1379408400,23.245
23,23.78
48,23.84
143,24.6
239,24.715
407,23.785
725,24.535
744,23.86
815,23.86
816,24.405
821,23.895
887,24.755
892,24.55
893,24.8
TIMEZONE_OFFSET=60
984,24.95
a1383037200,25
49,25
312,23.97
313,24.595
336,24.46
337,25.3
341,24.95
343,24.95
366,24.635
408,24.4
481,25.14
504,25.325
507,25.375
528,25.1
530,25.09
554,25.145
555,25.09
559,25.145
655,25.2
678,25.435
751,26.34
818,26.26
819,26.26
870,24.85
984,25.4
a1387360800,25.235
2,25.29
215,26.28
289,27.045
291,27.045
386,26.54
481,26.305
483,25.66
485,25.66
503,26.225
532,25.53
696,26.77
791,26.665
870,26.5
961,24.94
962,25.67
963,25.73
988,26.155
a1391421600,25.885
172,25.045
192,25.55
218,26.17
221,26.58
246,26.63
408,26.2
411,26.1
436,26.045
504,26.7
505,26.6
605,27.425
672,26.7
839,26.2
911,24.6
918,25.1
935,24.695
a1395147600,25.655
2,26.675
45,25.5
46,25.5
140,25.695
TIMEZONE_OFFSET=120
355,27.7
356,28.1
379,28.775
380,28.05
406,28.685
475,27.85
502,26.885
505,27.29
552,27.715
672,25.655
883,27.71
a1399366800,27.23
71,27.77
217,26.61
222,26.61
244,27.065
410,26.4
411,26.605
479,26.9
653,27.45
677,27.505
748,27.8
863,26.51
887,26.4
889,26.45
893,26.995
986,26.59
a1403251200,26.955
102,26.46
291,26.94
749,25.25
772,25.65
960,24
a1407423600,23.7
17,23.435
22,23.36
94,23.475
161,23.875
162,23.825
356,24.63
453,25
810,25.06
936,24.375
980,25.725
a1411034400,26.08
193,25.68
194,24.81
340,24.8
435,24.87
526,24.115
671,21.97
TIMEZONE_OFFSET=60
936,24.085
959,23.65
960,24.285
a1414756800,24.66
237,26
242,25.365
263,25.3
265,25.3
311,24.94
817,26.9
818,26.9
843,26.44
844,27.275
935,26.27
a1418720400,25.8
6,25.8
28,25.63
72,27
144,26.31
147,26.73
169,27.28
529,25.94
532,26.48
533,26.55
726,27.1
816,28.045
817,27.29
841,28.605
894,28.56
916,28.06
988,28.805
a1423227600,29.625
146,28.49
332,28.78
334,28.57
575,30.22
644,30.05
813,28.61
836,29.52
910,29.5
915,29.89
939,28.55
a1426849200,28.75
5,29.2
99,29.6
TIMEZONE_OFFSET=120
311,29.845
573,31.855
574,31.385
576,30.15
580,30.6
599,30.7
602,30.7
621,31.255
745,30.525
934,30.95
a1431939600,27.875
3,28.41
270,27.17
723,26.23
726,25.62
917,27.535
a1435564800,25.23
7,26.23
174,26.87
267,28.53
271,28.93
390,28.2
413,28.75
434,29.225
438,28.51
439,28.5
511,29.045
600,29.06
720,26.935
748,27.08
768,27.08
868,28.53
a1439193600,27.6
29,27.41
360,24.46
363,24.805
606,24.62
720,25.175
770,24.18
a1443106800,23.1
94,24.295
96,24.455
119,24.45
166,24.725
502,25.385
TIMEZONE_OFFSET=60
764,28.03
858,25.7
859,27.05
860,26.91
861,26.85
a1447066800,26.83
77,25.5
100,26.02
217,26.74
358,26.855
388,26.81
600,25.515
725,25.32
a1453453200,22.97
6,23.57
457,19.9
461,20.3
505,20
580,20.17
651,21.025
a1457341200,22.685
49,23.3
54,23.16
78,23.38
97,23.365
168,23.65
218,23.9
220,23.9
386,24.285
TIMEZONE_OFFSET=120
671,23.5
894,25.05
913,25.025
a1461052800,24.865
26,25.17
917,26.025
a1464872400,25.79
429,25.85
524,25.615
530,25.285
a1470819600,27.755
455,27.925
a1476360000,27.57
356,28.285
TIMEZONE_OFFSET=60
648,28.3
861,29.21
864,29.2
a1481108400,30.47
26,29.4
118,29.56
166,31.06
290,30.575
502,30.88
623,31.94
694,31.49
791,32.19
845,31.5
867,31.205
a1485442800,32.145
263,31.4
"
