IKHK
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=3600
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1469530800,1.15
46,0.951
70,0.991
71,1.029
72,0.991
75,1
166,0.99
237,0.961
363,0.96
405,0.93
501,0.98
507,0.97
696,0.991
838,0.95
864,1
916,1
a1473148800,0.95
2,0.95
53,0.92
55,0.95
75,1.001
175,1.018
196,0.977
361,0.935
364,0.88
390,0.869
483,0.899
581,0.901
696,0.97
842,0.96
843,0.971
845,0.95
895,0.9
a1476874800,0.92
141,0.9
146,0.9
165,0.89
196,0.89
220,0.92
TIMEZONE_OFFSET=60
341,0.954
386,0.875
650,0.865
670,0.82
671,0.75
694,0.819
700,0.88
718,0.87
886,0.86
958,0.85
a1480507200,0.85
165,0.74
166,0.771
220,0.76
309,0.787
480,0.73
502,0.75
651,0.779
717,0.787
718,0.671
863,0.671
986,0.671
988,0.671
a1484125200,0.67
1,0.65
49,0.635
120,0.602
124,0.481
151,0.5
168,0.525
195,0.502
289,0.502
314,0.501
338,0.501
365,0.5
456,0.56
461,0.605
463,0.566
486,0.664
528,0.67
529,0.699
552,0.699
558,0.71
624,0.667
627,0.76
"
