XAE2
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=3600
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1438160400,12.19
5,12.19
23,12.41
24,12.3
26,12.5
28,12.35
47,12.35
53,12.35
119,12.35
123,12.4
167,12.4
168,12.4
170,12.35
171,12.35
191,12.3
194,12.3
198,12.29
215,12.255
216,12.25
222,12.2
287,12.25
311,12
335,11.95
337,11.95
340,12
341,11.95
359,11.52
366,11.54
383,11.6
459,11.6
460,11.6
462,11.5
484,11.29
486,11.09
503,10.8
504,10.5
505,10.055
507,10.05
508,10.5
510,10.8
527,10.5
528,10.45
531,10.69
623,10.405
624,10.265
627,10.29
628,10.29
629,10.29
647,10.29
652,10.22
671,10.03
672,10.2
695,10.38
696,10.5
697,10.4
719,10.47
720,10.2
721,10.3
726,10.5
791,10.5
792,10.5
793,10.505
816,10.505
839,10.72
864,10.56
866,10.57
889,10.57
963,10.75
983,10.565
984,10.77
987,10.525
990,10.89
a1441789200,11.05
4,11.28
5,12
6,12.18
23,12.01
54,12
121,12.13
124,12.43
126,12.5
168,12.5
172,12.5
216,12.5
217,12.5
293,12.55
313,12.995
314,13
335,13
336,13
337,13
383,13
386,13
455,13
456,13
481,13.15
482,13.27
483,13.23
484,13.23
503,13.23
509,13.47
527,13.45
529,13.5
557,13.75
623,13.8
649,14
654,14.36
676,14.8
677,15.2
678,14.95
695,14.97
696,15.22
702,15.2
719,15.6
724,15.4
725,15.74
726,15.6
796,15.74
846,15
863,14.89
865,15
868,15
870,15.17
893,15
959,15.1
960,15.2
961,15
984,14.73
985,15
987,14.995
a1445418000,14.73
47,14.5
TIMEZONE_OFFSET=60
144,14.73
145,15
146,15
147,15
149,15
170,15
171,15
196,15.1
199,15
217,15
222,15
290,15
293,15
295,15
314,15
315,15
342,15
343,15.05
360,15
367,14.82
390,14.81
391,14.81
487,14.575
628,14.855
727,14.25
798,14.15
819,14
864,13.5
867,13.65
869,13.49
890,13.38
891,13.38
960,13.15
963,13
964,12.8
965,12.39
967,12.355
a1449061200,12.35
20,12.35
44,12.49
46,12.55
116,12.5
121,12.5
142,12.365
164,12.6
167,12.685
170,12.8
190,13.12
191,13.02
212,13.005
284,13.71
290,13.885
291,13.71
310,13.71
311,13.71
313,13.71
334,13.85
338,13.85
339,13.71
359,13
360,13
361,12.92
453,12.85
500,12.88
504,12.88
621,12.7
644,12.7
647,12.7
672,12.7
817,12.5
867,12.6
885,12.44
956,12.41
959,12.38
983,12.2
a1452679200,12.42
3,12.5
28,12.6
29,12.95
30,13.17
47,13.4
49,13.5
54,13.21
122,13.44
125,13.2
146,13.005
149,13
173,12.835
195,12.835
219,12.76
294,12.75
384,12.65
388,12.745
457,12.5
479,12.35
483,12.27
484,12.65
503,12.7
504,13.27
527,13.42
531,13.51
554,14.45
630,14.195
650,13.95
651,13.95
653,13.85
673,13.5
701,13.3
702,13.72
721,13.3
725,13.15
791,13.15
794,13.15
796,13.5
815,13.5
870,13.5
887,13.5
961,13.5
964,13.5
966,13.5
983,13.5
a1456318800,13.5
1,13.5
25,13.595
26,14
27,14
45,14
120,14
123,14
188,13.75
357,13.305
454,13.06
501,12.905
TIMEZONE_OFFSET=120
979,12.9
a1459936800,12.905
5,12.75
27,12.85
125,12.755
146,12.755
192,12.655
288,12.65
310,12.65
358,12.65
365,12.65
389,12.65
456,12.395
526,12.305
557,12.195
629,12.005
653,11.675
718,11.55
793,11.51
a1463670000,11.3
137,11.14
309,11.405
355,11.85
359,11.9
425,11.8
449,11.735
478,12.1
598,12.105
621,11.885
788,11.7
789,11.595
790,11.745
791,12
792,12
859,11.66
929,11.445
930,11.435
a1467298800,11.425
18,11.205
20,11.205
287,11.06
334,11
522,10.865
597,11.005
624,11.2
665,11.165
857,10.865
932,10.815
958,11.21
a1470902400,11.1
1,10.845
4,10.8
6,10.8
27,10.8
29,10.71
30,10.995
120,10.7
122,10.89
123,11.335
124,11.45
126,11.73
127,12.045
144,11.88
169,12.195
170,12.5
171,12.615
196,13
198,13
265,13.2
266,13.51
268,13.305
288,13.485
318,13.5
339,13.495
360,13.495
506,13.7
528,13.95
535,14.215
626,14.52
629,14.305
630,14.3
648,14.52
650,14.66
651,14.86
653,15
655,15.495
672,15.565
673,16.255
674,16
675,16
677,15.87
678,15.805
700,15.515
701,15.465
702,15.395
703,15.385
768,14.735
769,13.89
771,14
774,14.39
866,13.835
936,13.8
962,14.25
984,14.68
986,14.64
989,14.8
a1474984800,14.7
48,14.7
66,14.7
211,14.055
239,13.95
336,14.195
358,13.8
384,13.8
479,13.605
546,13.55
548,13.6
666,13.205
670,13.2
TIMEZONE_OFFSET=60
a1478599200,12.905
28,13
217,12.755
318,12.75
336,12.75
339,12.425
361,12.395
363,12.055
407,11.91
408,11.675
555,11.195
556,11.62
579,11.505
648,11.7
678,11.85
700,12.7
702,12.91
719,12.765
724,12.755
743,12.52
745,13
749,13.27
815,13.025
865,12.785
892,13.25
983,13.25
986,13.25
a1482318000,13.695
24,13.605
53,13.615
142,13.88
214,13.61
216,13.135
217,13.08
218,13.08
290,13.29
314,14.2
360,14.2
362,14.21
364,14.42
385,14.4
478,14.75
552,14.3
622,14.205
672,14.665
790,14.4
817,14.2
841,13.75
863,13.835
867,14.18
886,13.99
982,14.27
a1485943200,14.47
3,14.7
23,14.795
49,14.535
52,14.695
53,14.695
126,14.44
"
