BST
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1495185780,6.45
11,6.515
134,6.41
283,6.41
296,6.411
a1495441380,6.361
279,6.498
306,6.366
358,6.497
a1495522980,6.5
84,6.385
104,6.41
122,6.47
178,6.351
221,6.351
a1495627200,6.409
65,6.462
68,6.461
71,6.461
77,6.489
117,6.488
166,6.488
172,6.487
a1495719660,6.473
64,6.489
99,6.479
a1495783260,6.479
32,6.45
207,6.371
311,6.411
339,6.45
a1496044440,6.411
170,6.419
204,6.4
214,6.4
218,6.362
234,6.418
291,6.43
a1496130960,6.4
1,6.43
30,6.478
51,6.479
214,6.431
233,6.453
a1496214180,6.49
10,6.49
51,6.5
54,6.5
154,6.421
204,6.497
220,6.496
267,6.501
271,6.5
330,6.55
332,6.549
338,6.6
a1496301060,6.6
326,6.56
387,6.56
418,6.51
422,6.491
428,6.629
432,6.575
442,6.615
452,6.617
454,6.628
a1496389380,6.714
47,6.708
49,6.621
204,6.538
303,6.599
412,6.51
432,6.501
444,6.599
456,6.599
a1496732700,6.42
160,6.509
503,6.51
a1496831040,6.451
a1496905380,6.45
376,6.469
381,6.47
403,6.45
431,6.45
436,6.45
441,6.45
444,6.45
465,6.45
466,6.47
475,6.431
476,6.43
484,6.528
489,6.528
492,6.528
"
