CBHD
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1495184520,73.37
292,73.32
a1495436700,73.76
14,73.63
160,73.74
220,73.9
230,73.77
262,73.81
300,73.81
419,73.62
a1495525860,73.74
57,73.89
159,74.35
a1495635900,75.2
1,75.2
a1495802280,74.47
a1496042700,75.59
197,75
a1496134560,74.52
a1496214300,74.84
10,75.69
115,75.73
129,75.44
329,76.04
449,76.11
489,75.97
a1496300700,76.25
84,76.36
194,76.16
a1496390940,76.7
193,77.62
206,77.47
325,78
358,77.73
404,77.71
a1496732700,77.77
61,77.8
231,77.86
291,77.95
369,78.09
a1496823480,77.37
116,77.19
381,77.83
408,78.35
a1496905500,78.04
102,78.11
216,78.2
230,78.16
266,77.71
328,77.57
"
