DNQ
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1495177500,16.205
40,16.26
46,16.255
53,16.24
59,16.245
60,16.22
67,16.29
68,16.29
76,16.335
85,16.335
88,16.35
162,16.29
178,16.25
208,16.205
295,16.23
354,16.31
367,16.245
374,16.245
377,16.3
379,16.29
387,16.24
409,16.29
423,16.32
426,16.335
441,16.31
444,16.385
448,16.425
470,16.32
478,16.39
483,16.34
491,16.365
505,16.265
a1495436700,16.47
1,16.44
3,16.44
22,16.33
28,16.31
88,16.39
98,16.4
100,16.38
103,16.375
143,16.34
223,16.315
224,16.315
248,16.29
276,16.3
334,16.355
344,16.36
359,16.26
394,16.315
428,16.36
483,16.295
484,16.28
485,16.295
487,16.295
501,16.275
503,16.3
504,16.3
a1495524000,16.2
86,16.23
91,16.255
127,16.225
153,16.215
158,16.22
177,16.21
186,16.185
191,16.21
231,16.245
310,16.26
385,16.3
392,16.26
406,16.26
452,16.285
490,16.34
a1495609500,16.33
16,16.38
42,16.345
65,16.35
121,16.365
174,16.35
175,16.305
180,16.32
187,16.3
188,16.31
189,16.31
210,16.295
335,16.215
342,16.245
344,16.26
399,16.23
401,16.235
402,16.235
411,16.245
475,16.36
487,16.165
498,16.27
a1495695900,16.39
7,16.33
18,16.255
20,16.34
48,16.4
49,16.4
53,16.4
86,16.325
87,16.205
107,16.225
152,16.21
197,16.255
214,16.23
325,16.28
335,16.28
337,16.275
421,16.275
443,16.195
504,16.115
a1495782300,15.925
9,15.91
45,15.955
48,15.97
67,15.99
70,15.99
95,15.985
97,15.995
101,15.96
114,15.97
134,15.975
191,16.01
242,15.95
277,15.95
280,15.95
282,15.94
291,15.94
292,15.94
301,15.9
326,15.86
332,15.895
345,15.895
351,15.9
465,15.95
477,15.965
493,16
a1496041500,16
6,15.98
65,15.94
76,15.94
122,15.9
146,15.895
154,15.915
162,15.925
172,15.87
220,15.91
229,15.865
278,15.935
297,15.905
353,15.865
425,15.93
432,15.93
447,15.935
451,15.94
479,15.955
487,15.905
504,15.995
a1496127900,15.9
1,15.9
4,15.895
8,15.9
21,15.87
41,15.905
70,15.855
71,15.85
84,15.88
123,15.905
209,15.91
217,15.905
232,15.89
253,15.815
270,15.83
274,15.8
275,15.795
300,15.815
301,15.84
329,15.83
330,15.84
361,15.825
390,15.815
403,15.79
421,15.795
427,15.77
464,15.83
482,15.83
488,15.83
491,15.83
492,15.83
505,15.74
a1496214300,15.605
2,15.6
3,15.55
30,15.585
67,15.58
93,15.58
121,15.585
122,15.58
124,15.615
133,15.57
136,15.57
142,15.57
147,15.55
167,15.52
178,15.5
181,15.515
229,15.505
269,15.49
305,15.54
310,15.575
336,15.53
354,15.54
357,15.55
360,15.54
364,15.505
365,15.545
384,15.5
386,15.48
391,15.5
406,15.505
421,15.51
422,15.48
426,15.47
427,15.47
432,15.48
464,15.625
493,15.515
502,15.5
505,15.545
a1496300700,15.64
13,15.585
65,15.595
74,15.565
79,15.555
80,15.54
95,15.51
110,15.495
151,15.5
157,15.45
191,15.45
209,15.475
216,15.435
246,15.425
263,15.46
322,15.46
347,15.46
354,15.43
356,15.43
389,15.4
416,15.495
420,15.465
491,15.64
494,15.52
499,15.615
a1496387100,15.47
12,15.48
61,15.47
94,15.435
95,15.455
99,15.455
124,15.44
136,15.4
165,15.415
194,15.44
202,15.41
205,15.41
217,15.46
273,15.445
295,15.435
308,15.425
326,15.43
329,15.4
348,15.44
354,15.4
374,15.41
387,15.44
399,15.39
442,15.39
443,15.39
476,15.39
501,15.4
a1496732700,15.29
11,15.4
26,15.355
66,15.4
67,15.4
115,15.42
118,15.42
125,15.42
162,15.44
176,15.45
320,15.43
323,15.445
326,15.39
331,15.39
344,15.42
357,15.405
361,15.405
362,15.395
374,15.3
375,15.295
376,15.295
381,15.31
385,15.29
441,15.505
444,15.45
450,15.45
480,15.365
a1496819280,15.525
40,15.595
62,15.56
87,15.59
128,15.64
158,15.685
214,15.7
225,15.69
228,15.7
244,15.685
245,15.7
264,15.715
330,15.745
356,15.73
362,15.72
376,15.725
385,15.72
430,15.76
432,15.755
437,15.73
439,15.74
440,15.735
466,15.39
473,15.55
a1496905500,15.51
1,15.535
5,15.53
98,15.535
119,15.535
175,15.57
182,15.535
188,15.57
208,15.59
225,15.56
248,15.505
250,15.5
282,15.395
286,15.39
308,15.405
325,15.39
327,15.35
334,15.37
345,15.3
355,15.29
377,15.3
379,15.3
380,15.3
384,15.28
388,15.335
391,15.34
417,15.49
424,15.49
469,15.395
489,15.3
"
