KWG
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1495194120,1.301
a1495466040,1.331
949,1.337
a1495547100,1.337
a1495611300,1.337
287,1.337
a1495695780,1.3
407,1.358
a1496059080,1.359
98,1.359
198,1.359
a1496130300,1.301
a1496237340,1.33
96,1.33
a1496300580,1.29
16,1.3
a1496387100,1.39
61,1.389
185,1.33
449,1.316
450,1.38
462,1.38
469,1.378
475,1.378
a1496732940,1.332
244,1.332
387,1.331
448,1.331
a1496818980,1.331
21,1.359
45,1.36
93,1.333
229,1.329
467,1.33
487,1.354
a1496905380,1.305
217,1.319
367,1.349
"
