1NBA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1490342760,102.95
3,102.85
11,102.75
14,102.55
20,102.65
75,102.4
252,102.5
283,102.65
301,102.75
308,102.75
322,102.8
343,102.55
381,102.3
409,102.6
441,102.7
TIMEZONE_OFFSET=120
a1490598300,102.3
2,102.2
10,102
20,101.95
67,102.1
114,102.2
164,102.35
242,102.4
261,102.25
307,102.2
331,102.2
333,102.25
342,102.4
423,102.2
424,101.95
427,102.2
431,101.9
444,101.95
491,102.15
501,102.2
a1490684700,102.4
17,102.65
18,102.6
22,102.8
69,102.85
83,102.8
104,103.1
143,102.5
148,102.5
191,103
203,102.85
209,102.7
225,102.75
230,102.75
281,102.5
290,102.45
302,102.5
315,102.35
334,102.55
340,102.55
356,102.45
372,102.5
373,102.55
378,102.5
399,102.4
400,102.25
415,102.4
423,102.75
462,102.6
a1490771100,102.85
35,102.75
69,102.7
75,102.75
108,102.5
109,102.4
112,102.4
119,102.5
136,102.6
145,102.5
180,102.5
280,102.35
287,102.4
309,102.7
370,102.7
374,102.7
382,102.85
410,102.8
427,102.8
a1490857500,103.3
38,103.5
131,103.1
146,103
149,103
158,103.1
171,102.85
181,103.05
271,102.5
285,102.4
419,102.8
426,102.8
432,102.85
449,103.05
a1490943900,102.55
6,102.6
19,102.3
23,102.2
26,102
38,102
39,101.95
44,102.05
78,102.05
90,102.05
106,101.9
113,101.8
123,101.8
127,101.85
167,102.4
194,102.5
249,102.3
354,102.55
363,102.55
377,102.65
378,102.65
379,102.65
459,102.95
492,102.9
505,102.5
a1491203100,103.1
2,103.15
11,103.35
26,103.5
27,103.35
28,103.15
48,103.2
88,103.1
89,103
121,103.15
183,103.7
208,103.8
213,103.65
337,102.8
390,103.15
427,103.2
432,103.4
a1491289500,103.9
117,103.6
120,103.55
124,103.7
170,103.3
175,103.5
274,103.55
338,103.6
343,103.4
364,103.45
395,103.8
396,103.9
438,103.6
445,103.65
487,103.6
a1491375900,103.8
7,104.2
32,104.55
79,104.4
108,104.3
152,104.45
165,104.5
184,104.6
191,104.55
197,104.55
217,104.3
218,104.45
264,104
357,103.45
391,103.6
499,104
a1491463500,103.35
9,103.2
11,103.05
15,103.15
20,103
40,102.9
89,102.9
139,102.85
151,102.7
164,102.9
171,102.85
184,102.85
251,103
252,103.2
298,103.2
322,103.1
376,103.55
453,103.55
459,103.7
a1491548700,103.4
25,103.6
39,103.5
46,103.4
111,102.95
138,102.8
147,102.85
192,103
204,103.15
223,103.25
230,103.15
294,103.35
305,103.05
308,103.05
311,103.2
316,103.25
345,103.35
425,103.7
470,103.65
497,103.7
499,103.8
a1491807900,103.7
102,103.45
142,103.4
207,103.15
321,103.45
326,103.55
392,103.9
393,103.9
418,104.05
430,103.8
438,103.95
439,104
440,104.1
446,104.25
a1491894300,103.5
73,103.85
98,103.55
120,103.8
150,103.7
156,103.75
174,103.75
177,103.9
291,103.8
323,104
336,103.95
370,104.2
412,103.95
445,103.85
471,103.6
485,103.5
a1491980940,103.6
27,103.5
50,103.6
60,103.7
65,103.65
67,103.7
92,103.5
170,103.45
180,103.3
314,103.5
333,103.5
378,103.4
381,103.25
422,103.65
445,103.5
465,103.7
a1492067100,103.7
280,102.95
324,103.1
344,103.4
349,103.2
376,103.25
397,103.15
402,103.3
412,103.2
427,103.05
459,103.15
484,103.3
492,103.3
499,103.35
504,103.25
"
