EDG
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1490359140,3.328
22,3.34
182,3.269
188,3.302
TIMEZONE_OFFSET=120
a1490598600,3.329
94,3.369
112,3.36
237,3.368
425,3.296
471,3.34
472,3.34
a1490684700,3.39
374,3.4
434,3.346
481,3.298
a1490794200,3.342
a1490857500,3.36
387,3.347
427,3.306
a1490944440,3.294
381,3.298
394,3.278
a1491220980,3.3
105,3.27
a1491300420,3.45
10,3.512
122,3.488
124,3.488
168,3.51
169,3.52
299,3.423
302,3.423
313,3.454
a1491556800,3.58
332,3.593
a1491830400,3.534
a1491917820,3.513
a1492004700,3.558
a1492071300,3.68
111,3.688
162,3.7
163,3.7
165,3.7
310,3.754
311,3.791
319,3.87
"
