EOAA
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1490348340,7.294
42,7.212
107,7.217
115,7.299
407,7.225
TIMEZONE_OFFSET=120
a1490598060,7.165
3,7.19
10,7.3
331,7.205
a1490709960,7.281
21,7.28
39,7.266
a1490865600,7.295
a1490960400,7.479
153,7.362
a1491202980,7.553
19,7.418
67,7.406
169,7.506
218,7.4
a1491289260,7.485
a1491375660,7.393
494,7.3
a1491463920,7.277
77,7.294
254,7.251
a1491571920,7.398
a1491820800,7.35
238,7.339
250,7.339
261,7.34
a1491897120,7.257
321,7.306
a1491987720,7.428
a1492069500,7.268
423,7.299
"
