GRM
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1490369340,55
20,55.18
44,54.86
TIMEZONE_OFFSET=120
a1490598300,54.37
25,54.15
54,54.13
57,54.02
80,54.1
114,54.1
120,54.1
177,54.34
273,54.15
319,54.23
340,54.15
341,54.15
379,54.19
430,54.16
435,54.26
470,54.27
486,54.24
a1490697300,54.25
39,54.5
57,54.25
94,54.12
182,54.05
204,54.04
289,54.22
a1490792460,54.9
43,55
146,55.13
a1490857500,55.57
159,55.4
424,55.23
450,55.29
a1490943900,55.74
95,54.93
371,55.73
382,55.69
391,55.72
435,55.63
500,55.44
a1491203100,55.65
43,55.61
46,55.24
138,55.61
155,55.62
198,55.64
267,55.65
277,55.65
297,56.16
303,56
493,55.41
a1491289680,55
2,54.99
3,54.9
146,54.73
156,55.13
157,55.19
350,55.01
408,54.87
448,54.53
471,54.69
a1491379800,54.97
417,55.22
426,54.86
a1491462300,54.6
60,54.28
61,54.28
63,54.28
67,54.34
68,54.6
69,54.34
70,54.34
86,54
94,54.2
127,54.22
195,54.34
214,54.35
340,54.01
429,54.05
432,54
434,54
a1491548700,54.4
26,54.4
102,54.21
108,54.4
355,54.9
482,54.35
483,54.33
a1491807900,55
54,54.75
206,54.5
236,54.93
a1491902460,54.19
2,53.94
97,53.98
152,54.35
231,54.11
290,54.28
305,54.1
343,53.91
360,54.16
a1491982080,53.91
70,54.17
110,54
121,54
122,54
124,54
149,53.98
179,53.96
333,54.21
383,54.3
467,54.51
a1492073040,54.51
208,54.05
209,54.03
216,54.03
219,54.4
223,54.02
225,54.02
233,54.02
247,54.02
251,54.02
280,54.02
289,54.07
346,54
347,54
353,54
354,54
374,54.05
375,54.11
389,54.24
"
