HBM
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1490342580,29.74
13,29.74
61,29.62
95,29.62
97,29.7
238,29.625
304,29.6
309,29.65
312,29.65
316,29.65
320,29.65
323,29.65
327,29.65
331,29.65
334,29.65
335,29.65
336,29.6
338,29.6
342,29.58
345,29.58
353,29.625
358,29.625
359,29.625
363,29.65
365,29.65
367,29.65
400,29.65
402,29.65
403,29.7
405,29.575
446,29.505
450,29.5
461,29.51
462,29.545
465,29.58
471,29.595
489,29.505
507,29.505
TIMEZONE_OFFSET=120
a1490598180,29.5
8,29.545
52,29.665
136,29.6
137,29.54
178,29.54
205,29.6
214,29.57
296,29.545
363,29.545
369,29.54
380,29.54
388,29.54
390,29.54
398,29.545
399,29.54
417,29.54
424,29.54
432,29.5
439,29.54
443,29.5
444,29.4
445,29.5
446,29.405
456,29.405
462,29.505
479,29.52
480,29.52
482,29.545
497,29.65
498,29.63
504,29.405
a1490684580,29.65
2,29.52
56,29.555
82,29.5
88,29.35
124,29.405
234,29.49
255,29.575
266,29.495
384,29.5
479,29.5
a1490770980,29.41
23,29.595
33,29.6
48,29.63
115,29.485
122,29.655
181,29.65
202,29.645
223,29.645
227,29.645
231,29.645
262,29.53
263,29.55
317,29.685
333,29.675
338,29.635
411,29.57
412,29.57
431,29.57
441,29.53
455,29.53
479,29.51
498,29.515
506,29.515
507,29.51
a1490857320,29.6
32,29.61
122,29.555
139,29.675
181,29.6
199,29.61
200,29.61
215,29.6
230,29.6
253,29.6
256,29.6
279,29.63
352,29.6
353,29.6
383,29.6
413,29.6
419,29.6
436,29.6
442,29.6
470,29.6
486,29.6
508,29.525
a1490943780,29.56
8,29.56
33,29.46
34,29.4
41,29.4
63,29.455
72,29.45
151,29.45
174,29.305
201,29.33
216,29.305
247,29.35
255,29.35
263,29.38
264,29.365
333,29.365
334,29.3
347,29.3
375,29.3
382,29.3
383,29.345
386,29.3
387,29.3
395,29.135
401,29.195
409,29.105
415,29.105
440,29.195
470,29.195
489,29.1
493,29.2
498,29.105
506,29.12
a1491202980,29.135
20,29.18
69,29.22
120,29.21
143,29.21
148,29.21
157,29.21
174,29.295
175,29.295
187,29.37
263,29.305
294,29.37
342,29.305
402,29.305
424,29.305
431,29.36
446,29.31
482,29.35
486,29.35
499,29.3
505,29.3
507,29.3
a1491289380,29.3
11,29.33
17,29.3
59,29.235
118,29.235
143,29.32
158,29.34
222,29.41
255,29.26
276,29.175
277,29.25
321,29.355
349,29.29
397,29.15
398,29.285
405,29.265
428,29.34
459,29.21
488,29.375
496,29.23
505,29.215
507,29.215
a1491375780,29.25
16,29.3
93,29.25
94,29.25
190,29.25
271,29.25
276,29.18
298,29.295
299,29.3
350,29.225
360,29.23
364,29.25
373,29.25
379,29.25
385,29.25
399,29.25
400,29.25
410,29.23
435,29.18
444,29.18
466,29.18
486,29.2
490,29.2
493,29.18
497,29.21
502,29.18
504,29.18
506,29.15
507,29.12
a1491462180,29.235
1,29.235
61,29.14
72,29.01
83,29.01
129,29.015
140,29.01
164,29.105
194,29.1
205,29.05
210,29.1
278,29.06
311,29.135
328,29.06
398,29.06
399,29.06
400,29.06
411,29.06
412,29.09
432,29.1
436,29.15
465,29.17
468,29.17
469,29.17
471,29.11
472,29.11
506,29.06
507,29.06
a1491548580,29.04
137,29.075
138,29.045
139,29.23
201,29.23
220,29.145
221,29.145
232,29.11
269,29.05
272,29.045
277,29.045
290,29.115
329,29.06
352,29.15
369,29.325
436,29.24
437,29.285
452,29.355
454,29.355
468,29.205
473,29.205
475,29.065
482,29.115
491,29.22
495,29.205
506,29.275
507,29.395
a1491807780,29.5
7,29.795
9,30
11,30.085
12,30.09
14,30
22,30
26,29.96
52,29.87
93,29.89
97,29.89
109,29.89
122,29.89
139,29.895
143,29.895
144,29.805
194,29.805
201,29.805
231,29.895
232,29.9
233,29.9
275,29.98
276,29.98
278,29.975
286,29.98
287,29.9
289,29.98
320,29.97
452,29.945
482,29.905
488,30
499,29.985
505,29.92
507,29.905
a1491894180,30.1
38,30.095
43,30.05
44,29.96
60,29.96
61,29.935
87,29.915
126,29.835
140,29.815
162,29.77
178,29.65
196,29.65
207,29.715
214,29.875
238,29.885
251,29.89
257,29.715
258,29.595
267,29.5
269,29.36
356,29.39
374,29.39
399,29.35
409,29.35
453,29.25
477,29.39
503,29.305
506,29.305
507,29.395
a1491980580,29.2
11,29.255
30,29.415
51,29.27
90,29.475
109,29.46
144,29.445
234,29.4
241,29.23
345,29.22
361,29.34
364,29.44
390,29.44
391,29.485
393,29.485
395,29.485
457,29.49
458,29.49
461,29.49
499,29.55
500,29.55
501,29.5
502,29.5
503,29.41
504,29.41
506,29.41
507,29.355
a1492066980,29.5
41,29.315
43,29.2
47,29.29
52,29.3
65,29.3
114,29.3
140,29.3
143,29.25
165,29.3
233,29.25
234,29.14
242,29.11
243,29.11
255,29.045
275,29.07
282,29.205
304,29.015
308,29.095
319,29.165
338,29.055
348,29.055
357,29.055
366,29.055
375,29.055
383,29.055
390,29.055
391,29.055
397,29.01
403,29.01
409,29.01
410,29
416,29
417,29.045
426,29.05
427,29.02
429,29.035
442,29
448,29
451,29
454,28.98
459,28.98
460,28.905
465,28.9
471,28.9
476,29
477,29.03
484,28.99
489,28.98
490,29.005
493,29.03
494,29.04
497,29.05
504,29.015
507,28.93
"
