M4I
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1490362800,104
1,104
3,104
TIMEZONE_OFFSET=120
a1490598420,101.45
54,101.1
59,101.85
83,101.9
107,102
174,102.3
437,102.3
467,102.2
a1490684700,103.1
296,103.25
402,102.65
403,102.65
486,103.3
a1490771220,105.05
280,103.95
386,103.9
463,103.9
a1490865240,104.35
356,104.95
a1490948820,105.2
306,105.25
335,105.45
350,106
354,106.25
404,105.9
410,105.95
a1491219540,105.95
a1491298920,105.25
50,105.05
142,105.1
143,105.1
144,105.1
145,105.1
146,105.1
147,105.1
148,105.1
149,105.1
150,105.1
151,105.1
152,105.1
153,105.1
154,105.1
163,105.5
331,105.1
a1491375900,105.2
67,105.15
95,105.2
493,106.1
a1491471900,104.75
35,104.85
135,105
242,105
a1491554280,105
56,104.95
390,105.7
a1491807900,106.95
355,106
458,106.7
a1491894300,106.2
a1491980700,105.3
148,105.55
388,104.95
410,105.8
a1492084560,104.4
5,105
103,105
"
