WSOK
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1490342580,2.537
39,2.605
159,2.624
165,2.779
171,2.74
174,2.98
177,3
183,2.91
186,3
187,3.025
189,3.231
192,3.15
193,3.15
194,3.15
197,3.072
TIMEZONE_OFFSET=120
a1490787960,3.149
a1490879160,3.152
32,3.125
80,3.195
a1490950140,3.096
229,2.948
232,3.05
a1491307440,3.05
a1491812220,2.92
a1491924120,2.994
962,2.889
a1492001520,2.789
a1492071600,2.799
18,2.8
19,2.896
178,2.89
179,2.994
220,2.882
278,2.879
291,2.879
"
