CRZ
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487601780,1.725
a1487689260,1.705
a1487755380,1.745
a1487851920,1.739
101,1.74
146,1.74
a1487924100,1.739
122,1.734
224,1.739
410,1.74
a1488182700,1.722
60,1.739
a1488283320,1.75
a1488357660,1.736
110,1.734
377,1.776
391,1.734
a1488450600,1.79
169,1.8
232,1.829
a1488532560,1.748
343,1.844
a1488811020,1.8
101,1.761
112,1.849
a1488875340,1.749
48,1.734
77,1.769
426,1.75
443,1.799
a1488983760,1.75
"
