HEZ
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487584620,0.75
274,0.76
a1487685060,0.76
87,0.76
a1487753340,0.767
a1487836980,0.789
172,0.788
a1488441780,0.76
481,0.779
a1488528180,0.78
431,0.779
a1488801300,0.769
1,0.77
5,0.8
a1488887400,0.77
11,0.819
12,0.819
13,0.84
14,0.84
34,0.85
52,0.85
68,0.84
83,0.845
106,0.845
117,0.845
125,0.845
127,0.855
135,0.859
145,0.87
146,0.87
164,0.87
172,0.87
200,0.872
234,0.883
240,0.88
280,0.883
a1488960300,0.862
95,0.87
171,0.885
496,0.876
a1489046580,0.875
158,0.89
161,0.89
210,0.909
415,0.9
a1489136700,0.891
3,0.902
"
