HNL
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487577780,31.015
42,31.5
120,31.665
358,31.48
372,31.735
451,31.74
482,31.735
485,31.74
487,31.63
493,31.625
494,31.565
505,31.715
506,31.565
a1487664180,31.74
8,31.59
49,31.72
79,31.72
83,31.72
99,31.72
132,31.64
147,31.64
214,31.64
245,31.74
268,31.635
277,31.7
330,31.6
352,31.64
409,31.74
416,31.735
449,31.74
453,31.85
479,31.85
503,31.75
507,31.85
a1487750700,31.3
14,31.37
18,31.5
19,31.3
39,31.45
45,31.375
55,31.235
96,31.245
97,31.25
133,31.24
134,31.11
138,31.04
140,30.51
141,30.92
162,30.975
175,30.835
180,30.825
189,30.825
191,30.825
199,31.085
206,30.85
230,30.85
234,31.045
239,30.925
256,30.96
315,31.02
330,31.05
347,30.9
358,30.83
412,30.835
448,30.99
457,31.045
486,30.87
487,30.9
505,31.04
a1487836980,31
1,31.46
10,31.07
55,31.2
65,31.215
79,31.315
81,31.225
84,31.225
222,31.29
257,31.115
354,31.25
360,31.28
394,31.1
398,31.17
461,31.045
472,31.2
496,31.2
498,31.275
507,31.28
a1487923380,31.28
92,31.235
120,31.235
143,31.235
147,31.475
148,31.315
149,31.335
156,31.245
157,31.355
246,31.07
256,31.15
263,31
269,31.175
271,31.11
300,31.18
305,31.01
306,31
307,30.94
308,30.94
314,30.96
339,31.21
398,31.185
422,31.305
425,31.215
444,31.345
450,31.225
461,31.375
470,31.43
473,31.32
475,31.245
498,31.19
503,31.135
504,31.24
506,31.235
a1488182580,31.3
23,31.295
28,31.295
31,31.295
47,31.295
51,31.295
52,31.295
53,31.3
57,31.395
77,31.395
122,31.4
169,31.4
170,31.3
177,31.4
228,31.4
229,31.325
232,31.47
238,31.47
287,31.47
292,31.47
301,31.47
309,31.47
324,31.3
328,31.465
334,31.47
344,31.455
345,31.47
375,31.48
404,31.48
415,31.475
417,31.48
419,31.48
421,31.48
425,31.48
445,31.48
447,31.48
449,31.48
458,31.49
469,31.49
476,31.49
483,31.49
487,31.49
489,31.38
495,31.49
501,31.49
505,31.5
506,31.5
507,31.5
a1488268980,31.5
8,31.78
24,31.67
53,31.775
79,31.8
88,31.8
127,31.89
179,31.89
243,31.89
324,31.89
331,31.89
344,31.89
345,31.92
347,31.92
382,32
389,32.15
426,32.24
441,32.44
460,32.44
461,32.44
463,32.37
464,32.345
493,32.255
500,32.4
506,32.4
a1488355380,31.85
15,32.5
16,32.5
21,32.99
26,33
32,33.175
37,33.245
41,33.255
44,33.395
52,33.02
54,33.36
59,33.3
62,33.205
82,33.195
84,33
85,32.995
137,32.995
143,33.025
255,33.15
307,33.145
328,33.05
349,32.865
359,33
386,33
408,33.125
412,33.05
413,33.315
440,33.215
453,33.21
454,33.195
455,33.17
457,33.165
461,33.285
465,33.4
466,33.23
498,33.29
a1488441780,33.595
1,33.555
6,33.345
41,33.305
74,33.52
111,33.525
136,33.46
145,33.585
180,33.55
255,33.35
262,33.515
324,33.35
350,33.24
353,33.435
405,33.19
444,33.26
445,33.235
456,33.17
470,33.14
506,33
507,33.195
a1488528180,33
4,33.385
20,33.015
58,33
61,32.995
84,33.185
97,32.965
112,32.925
126,32.99
170,32.915
194,32.81
195,32.815
211,32.795
344,32.79
382,32.8
405,32.8
407,32.765
408,32.77
438,32.715
506,32.73
507,32.765
a1488787380,32.795
8,32.62
14,32.595
129,32.535
291,32.4
295,32.22
367,32.38
420,32.55
478,32.575
483,32.6
506,32.585
a1488873780,32.745
13,32.5
23,32.5
26,32.6
27,32.52
35,32.5
69,32.5
138,32.5
185,32.505
213,32.5
334,32.575
335,32.65
365,32.695
375,32.66
422,32.795
458,32.8
459,32.8
474,32.87
482,32.87
484,33.3
485,33.26
490,33.3
499,33.2
505,33.105
506,33.2
a1488964620,33
50,33.175
137,33.17
172,33.04
181,33
214,33
276,33
280,33
299,33.195
401,33
402,33
406,33
407,33
408,33
a1489048080,33.005
5,33.195
18,33.045
58,33.05
59,33
60,33
62,33
63,33
67,33
73,33
74,32.905
88,33.06
214,33
256,33
297,32.97
406,33.2
433,33.2
436,33.34
453,33.105
455,33.11
a1489133280,33.3
22,33.285
83,33.455
84,33.24
93,33.24
95,33.12
167,32.97
250,32.93
310,33.1
404,32.935
406,32.93
481,32.93
"
