IKHK
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487577900,1.1
17,1.08
277,1.1
436,1.14
443,1.14
444,1.14
a1487669460,1.15
a1487753880,1.08
118,1.123
a1487836980,1.14
93,1.125
307,1.111
a1487924700,1.111
62,1.15
226,1.14
248,1.149
312,1.13
434,1.101
a1488197940,1.091
88,1.15
a1488279120,1.149
93,1.096
179,1.15
260,1.08
a1488385320,1.091
a1488457980,1.149
a1488542040,1.081
25,1.05
27,1
29,0.941
30,0.93
34,0.92
39,0.92
42,0.921
51,0.851
82,0.801
84,0.8
87,0.8
89,0.8
90,0.82
96,0.819
110,0.819
a1488795480,0.918
138,0.919
a1488895620,0.885
a1488983940,0.95
54,0.95
a1489072380,0.91
a1489136220,0.906
444,0.901
"
